CVE-2020-9367||Zoho ManageEngine Desktop Central MSP build MSP build 10.0.486中的MPS代理容易受到DLL劫持的影响：dcinventory.exe和dcconfig.exe试图加载CSUNSAPI.dll而不提供完整路径。由于该DLL在安装中缺失，该问题变得更加严重，因此有可能劫持该DLL并随后注入代码，导致权限升级到NT AUTHORITY/SYSTEM。
CVE-2021-0312||在WAVExtractor.cpp的WAVSource::read中，由于存在整数溢出，可能存在越界写入。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。产品。安卓；版本。Android-8.1, Android-9, Android-10, Android-11, Android-8.0; Android ID: A-170583712.
CVE-2021-0313||在LayoutUtils.cpp的isWordBreakAfter中，由于输入验证不当，有可能导致TextView变慢或崩溃。这可能导致远程拒绝服务，不需要额外的执行权限。利用时不需要用户互动。产品。安卓；版本。Android-9, Android-10, Android-11, Android-8.0, Android-8.1; Android ID: A-170968514.
CVE-2021-0314||在UninstallerActivity的onCreate中，存在一种可能的方式，由于tapjacking/overlay攻击，在没有知情用户同意的情况下卸载所有。这可能导致本地权限升级，需要用户执行权限。利用时需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-171221302
CVE-2021-0315||在GrantCredentialsPermissionActivity.java的onCreate中，存在一种可能的方式，可以说服用户由于tapjacking/overlay攻击而授予应用程序对一个账户的访问。这可能会导致本地权限升级，需要用户执行权限。利用时需要用户互动。产品。安卓；版本。Android-8.1, Android-9, Android-10, Android-11, Android-8.0; Android ID: A-169763814.
CVE-2021-0316||在avrc_pars_tg.cc的avrc_pars_vendor_cmd中，由于缺少边界检查，可能存在越界写入。这可能导致通过蓝牙远程执行代码，不需要额外的执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11, Android-8.0, Android-8.1, Android-9, Android-10; Android ID: A-168802990.
CVE-2021-0317||在Permission.java的createOrUpdate和相关代码中，由于逻辑错误，可能存在权限升级。这可能导致本地权限升级，不需要额外的执行权限。利用时需要用户互动。产品。安卓；版本。Android-10, Android-11, Android-8.0, Android-8.1, Android-9; Android ID: A-168319670.
CVE-2021-0318||在SensorEventConnection.cpp的appendEventsToCacheLocked中，由于存在use-after-free，可能存在越界写入。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓；版本。Android-9, Android-8.1, Android-10, Android-11; Android ID: A-168211968.
CVE-2021-0319||在CompanionDeviceManagerService.java的checkCallerIsSystemOr中，由于权限绕过，有可能在没有适当权限的情况下获取附近蓝牙设备的MAC地址。这可能导致权限的局部升级，授予访问附近的MAC地址的权限，需要用户执行权限。利用时需要用户互动。产品。安卓；版本。Android-8.0, Android-8.1, Android-9, Android-10, Android-11; Android ID: A-167244818.
CVE-2021-0320||在keystore_keymaster_enforcement.h的is_device_locked和set_device_locked中，由于存在竞赛条件，有可能绕过锁屏要求的keyguard绑定键。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; Android ID: A-169933423.
CVE-2021-0321||在ActivityManagerService.java的enforceDumpPermissionForPackage中，由于侧信道信息泄露，有可能确定包是否安装。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11; Android ID: A-166667403.
CVE-2021-0322||在SlicePermissionActivity.java的onCreate中，由于输入验证不当，可能会显示一个误导性字符串。这可能导致本地信息泄露，需要用户执行权限。利用时需要用户互动。产品。安卓；版本。Android-10, Android-11, Android-9; Android ID: A-159145361.
CVE-2021-0324||Product:AndroidVersions:Android SoCAndroid ID: A-175402462
CVE-2021-0325||在ih264d_parse_pslice.c的ih264d_parse_pslice中，由于堆缓冲区溢出，可能存在越界写入。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-174238784
CVE-2021-0326||在p2p.c的p2p_copy_client_info中，由于缺少边界检查，可能存在越界写入。如果目标设备正在进行Wi-Fi Direct搜索，这可能导致远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-172937525
CVE-2021-0327||在ActivityManagerService.java的getContentProviderImpl中，由于未恢复绑定身份，可能存在权限绕过。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-9 Android-10 Android-11 Android-8.1Android ID: A-172935267
CVE-2021-0328||在GattService.java的onBatchScanReports和deliverBatchScan中，由于缺少权限检查，有可能在没有权限的情况下检索到蓝牙扫描结果。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-8.1 Android-9Android ID: A-172670415
CVE-2021-0329|||在AdvertiseManager.java调用的几个本地函数中，由于缺少边界检查，可能存在越界写入。这可能导致蓝牙服务器的本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-9 Android-10 Android-11 Android-8.1Android ID: A-171400004
CVE-2021-0330||在storaged.cpp的add_user_ce和remove_user_ce中，由于不适当的锁定，可能存在使用后释放。这可能导致storaged的本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-9 Android-10 Android-11Android ID: A-170732441
CVE-2021-0331||在NotificationAccessConfirmationActivity.java的onCreate中，由于不安全的默认值，可能存在叠加攻击。这可能导致本地权限升级和通知访问，需要用户执行权限。利用时需要用户互动。产品。AndroidVersions:Android-9 Android-10 Android-11 Android-8.1Android ID: A-170731783
CVE-2021-0332||在SurfaceFlinger.cpp的bootFinished中，由于free后使用，可能存在内存损坏。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-10Android ID: A-169256435
CVE-2021-0333||在BluetoothPermissionActivity.java的onCreate中，存在一个可能的权限绕过，原因是当蓝牙设备正在连接时，一个窃听覆盖层掩盖了电话簿的权限对话框。这可能导致本地权限升级，需要用户执行权限。利用时需要用户互动。产品。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-168504491
CVE-2021-0334||在ResolverActivity.java的onTargetSelected中，存在一个可能的设置绕过，允许应用程序成为任意域的默认处理器。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-163358811
CVE-2021-0335||在C2SoftHevcDec.cpp的过程中，由于free后使用，可能存在越界写入。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-11Android ID: A-160346309
CVE-2021-0336||在BluetoothPermissionRequest.java的onReceive中，由于存在可变的PendingIntent，可能存在权限绕过。这可能导致本地权限升级，绕过权限检查，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-9 Android-10 Android-11 Android-8.1Android ID: A-158219161
CVE-2021-0337||在FileSystemProvider.java的moveInMediaStore中，由于元数据过期，可能存在文件暴露。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-157474195
CVE-2021-0338||在SystemSettingsValidators中，由于缺少对UI设置的边界检查，可能存在永久性拒绝服务。这可能导致本地拒绝服务，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11Android ID: A-156260178
CVE-2021-0339|||在WindowContainer.java的loadAnimation中，存在一种可能的方式，即在目标应用程序被带到前台时继续显示一个恶意应用程序。这可能导致本地权限升级，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-10 Android-8.1 Android-9Android ID: A-145728687
CVE-2021-0340||在IsoInterface.java的parseNextBox中，由于输入验证不当，可能会泄露未经编辑的位置信息。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。AndroidVersions:Android-10Android ID: A-134155286
CVE-2021-0341||在OkHostnameVerifier.java的verifyHostName中，由于不正确地使用密码，有可能接受错误域名的证书。这可能导致远程信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-171980069
CVE-2021-0342||在tun.c的tun_get_user中，由于free后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android内核; Android ID: A-146554327.
CVE-2021-0343|||在kisd中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05449962。
CVE-2021-0344||在mtkpower，由于缺少边界检查，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05437558。
CVE-2021-0345||在mobile_log_d中，由于不正确的输入验证，可能存在特权升级的问题。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05432974.
CVE-2021-0346||在vpu中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05371580。
CVE-2021-0347||在ccu中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时需要用户互动。产品。安卓；版本。Android-8.1, Android-9, Android-10, Android-11; 补丁ID:ALPS05377188。
CVE-2021-0348||在vpu中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-9, Android-10, Android-11; 补丁ID:ALPS05349201。
CVE-2021-0349|||在显示驱动中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-9, Android-10, Android-11; 补丁ID:ALPS05362646。
CVE-2021-0350||在ged中，由于不正确的输入验证，可能存在系统崩溃。这可能导致本地拒绝服务，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-8.1, Android-9, Android-10, Android-11; 补丁ID:ALPS05342338.
CVE-2021-0351||在wlan驱动中，由于缺少边界检查，可能存在系统崩溃。这可能导致远程拒绝服务，不需要额外的执行权限。利用时不需要用户互动。产品。安卓；版本。Android-8.1, Android-9, Android-10, Android-11; 补丁ID:ALPS05412917.
CVE-2021-0352||在RT regmap驱动中，由于类型混淆，可能存在内存损坏。这可能导致本地拒绝服务，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05453809。
CVE-2021-0353||在kisd，由于堆缓冲区溢出，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05425247.
CVE-2021-0354||在ged中，由于整数溢出，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-8.1, Android-9, Android-10, Android-11; 补丁ID:ALPS05431161.
CVE-2021-0355|||在kisd中，由于整数溢出，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05425581。
CVE-2021-0356||在netdiag，由于输入验证不当，可能存在命令注入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05442014。
CVE-2021-0357||在netdiag中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05442002。
CVE-2021-0358||在netdiag中，由于输入验证不当，可能存在命令注入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05442022。
CVE-2021-0359||在netdiag中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05442011。
CVE-2021-0360||在netdiag中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05442006。
CVE-2021-0361|||在kisd中，由于输入验证不当，可能存在越界读取。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05449968。
CVE-2021-0362|||在aee中，由于堆栈缓冲区溢出，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05457070。
CVE-2021-0363|||在mobile_log_d中，由于缺少边界检查，可能存在命令注入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05458478。
CVE-2021-0364||在mobile_log_d，由于输入验证不当，可能存在命令注入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05458478；问题编号：ALPS05458503。
CVE-2021-0365|||在显示驱动中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05454782。
CVE-2021-0366||在vpu中，由于存在一个竞赛条件，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05371580; 问题编号: ALPS05379093.
CVE-2021-0367||在vpu中，由于存在一个竞赛条件，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05371580; 问题编号: ALPS05379085.
CVE-2021-0368||在bitwise.c的oggpack_look中，由于缺少边界检查，可能存在越界读取。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-11Android ID: A-169829774
CVE-2021-0369||在CrossProfileAppsServiceImpl.java中，由于代码中的逻辑错误，应用程序的INTERACT_ACROSS_PROFILES授予状态有可能无法在设置UI中正确显示。这可能导致本地权限升级，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-11Android ID: A-166561076
CVE-2021-0370||在NxpMfcReader.cc的写入中，由于缺少边界检查，可能存在越界写入。这可能导致NFC服务器的本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-169259605
CVE-2021-0371||在nci_hrcv.cc的nci_proc_rf_management_ntf中，由于缺少边界检查，可能存在越界读取。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-164440989
CVE-2021-0372||在RemoteMediaSlice.java的getMediaOutputSliceAction中，由于存在不安全的PendingIntent，可能存在权限绕过。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-174047735
CVE-2021-0374||在IAudioPolicyService.cpp的BnAudioPolicyService::onTransact中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-169572641
CVE-2021-0375||在VoiceInteractionManagerService.java的onPackageModified中，由于不安全的默认值，有可能改变默认应用程序。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-167261484
CVE-2021-0376||在MediaProvider.java的checkUriPermission和相关函数中，由于权限绕过，可能存在访问外部文件的途径。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-115619667
CVE-2021-0377||在delta_performer.cc的DeltaPerformer::Write中，由于输入验证不当，有可能使用不受信任的输入。这可能导致本地绕过深度防御保护，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-160800689
CVE-2021-0378||在pvmp3_getbits.cpp的getNbits中，由于堆缓冲区溢出，可能存在越界读取。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。安卓版本。Android-11Android ID: A-154076193
CVE-2021-0379||在pvmp3_getbits.cpp的getUpTo17bits中，由于堆缓冲区溢出，可能存在越界读取。这可能导致远程信息泄露，不需要额外的执行权限。利用时需要用户互动。安卓版本。Android-11Android ID: A-154075955
CVE-2021-0380||在DcTracker.java的onReceive中，由于缺少权限检查，有可能触发配置URL并修改其他电话设置。这可能导致在入职流程中的本地特权升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-172459128
CVE-2021-0381||在DeviceStorageMonitorService.java的updateNotifications中，由于存在不安全的PendingIntent，可能存在权限绕过。这可能导致本地信息泄露，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-153466381
CVE-2021-0382||在SliceManagerService.java的checkSlicePermission中，由于错误的权限检查，可能存在资源暴露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-140727941
CVE-2021-0383||在完成CaptivePortalLoginActivity.java的过程中，存在一个混乱的副手。这可能导致运营商设置中的本地权限升级，而不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-160871056
cve-2021-0384||**拒绝 **不要使用这个候选号码。咨询IDs：无。原因是。这个候选人被其CNA撤回了。进一步的调查显示，这不是一个安全问题。备注：无。
CVE-2021-0385||在ConnectToNetworkNotificationBuilder.java的createConnectToAvailableNetworkNotification中，由于锁屏上方的通知互动，有可能连接到不受信任的WiFi网络。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-172584372
CVE-2021-0386||在UsbConfirmActivity的onCreate中，由于不安全的默认值，存在一个可能的窃取载体。这可能导致本地权限升级，需要用户执行权限。利用时需要用户互动。产品。AndroidVersions:Android-11Android ID: A-173421110
CVE-2021-0387||在QuotaUtils.cpp的FindQuotaDeviceForUuid中，由于存在竞赛条件，可能存在使用后自由。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-169421939
CVE-2021-0388||在ImsPhoneCallTracker.java的onReceive中，由于不正确的广播处理器，可能存在数据使用的错误归属。这可能导致本地权限升级，导致将视频通话数据归属于错误的应用程序，而不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-162741489
CVE-2021-0389||在UiModeManagerService.java的setNightModeActivated中，存在一个缺失的权限检查。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-168039904
CVE-2021-0390|||在WifiNetworkSuggestionsManager.java的多个方法中，由于缺少权限检查，可能存在修改建议网络的情况。这可能导致同一设备上的后台用户在不需要额外执行权限的情况下进行本地权限升级。利用时不需要用户互动。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-174749461
CVE-2021-0391||在ChooseTypeAndAccountActivity.java的onCreate()中，有可能在没有权限的情况下，通过tapjacking/overlay攻击，了解账户的存在。这可能会导致本地权限升级，需要用户执行权限。利用时需要用户互动。产品。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-172841550
CVE-2021-0392||在main.cpp的main中，由于双倍释放，可能存在内存损坏。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11 Android-9Android ID: A-175124730
CVE-2021-0393||在scanner.cc的Scanner::LiteralBuffer::NewCapacity中，由于存在整数溢出，可能存在越界写入。如果攻击者能够提供一个恶意的PAC文件，这可能导致远程代码执行，而不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-168041375
CVE-2021-0394||在android_os_Parcel.cpp的android_os_Parcel_readString8中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-172655291
CVE-2021-0395||在reboot.cpp的StopServicesAndLogViolations中，由于free后使用，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-170315126
CVE-2021-0396||在buildins-arm.cc的Builtins::Generate_ArgumentsAdaptorTrampoline和相关文件中，由于不正确的边界检查，可能存在越界写入。这可能导致非特权进程中的远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-8.1 Android-9 Android-10 Android-11Android ID: A-160610106
CVE-2021-0397|||在sdp_discovery.cc的sdp_copy_raw_data中，由于存在双自由，可能存在系统破坏。这可能导致远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11 Android-8.1 Android-9 Android-10Android ID: A-174052148
CVE-2021-0398||在ActiveServices.java的bindServiceLocked中，由于混淆了副手，可能存在前台服务启动。这可能导致本地权限升级，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-11Android ID: A-173516292
CVE-2021-0399||在xt_qtaguid.c的qtaguid_untag中，由于free后使用，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android kernelAndroid ID: A-176919394参考文献。上游内核
CVE-2021-0400||在GnssLocationProvider.java的injectiveBestLocation和handleUpdateLocation中，由于输入验证不当，可能存在向紧急服务报告位置数据的不正确情况。这可能导致错误地将位置数据报告给需要用户执行权限的紧急服务。利用时不需要用户互动。产品。安卓版本。Android-9 Android-10 Android-11Android ID: A-177561690
CVE-2021-0401||在vow中，由于存在一个竞赛条件，可能存在内存损坏。这可能导致本地权限升级，需要系统执行权限。利用时需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05418265。
CVE-2021-0402|||在jpeg中，由于输入验证不当，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05433311.
CVE-2021-0403|||在netdiag中，由于缺少权限检查，可能存在信息泄露。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11；补丁ID。ALPS05475124.
CVE-2021-0404|||在mobile_log_d中，由于输入验证不当，可能存在信息泄露。这可能导致本地信息泄露，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-11; 补丁ID:ALPS05457039。
CVE-2021-0405|||在性能驱动中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05466547。
CVE-2021-0406||在Cameraisp中，由于缺少边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。产品。安卓；版本。Android-10, Android-11; 补丁ID:ALPS05471418。
CVE-2021-0407|||在clk驱动中，由于不正确的边界检查，可能存在越界写入。这可能导致本地权限升级，需要系统执行权限。利用时不需要用户互动。补丁ID。ALPS05479659；问题编号：ALPS05479659。
CVE-2021-0408|||在asf提取器中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05489195；问题ID：ALPS05489220。
CVE-2021-0409||在flv提取器中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05561359；问题编号：ALPS05561359。
CVE-2021-0410||在flv提取器中，由于不正确的边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05561360; 问题编号: ALPS05561360.
CVE-2021-0411||在flv提取器中，由于整数溢出，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05561362; 问题编号: ALPS05561362.
CVE-2021-0412||在flv提取器中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05561366；问题编号：ALPS05561366。
CVE-2021-0413||在flv提取器中，由于缺少边界检查，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05561379; 问题编号: ALPS05561379.
CVE-2021-0414||在flv提取器中，由于堆缓冲区溢出，可能存在越界读取。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05561384; 问题编号: ALPS05561384.
CVE-2021-0415||在内存管理驱动中，由于缺少权限检查，可能存在信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题ID：ALPS05336692。
CVE-2021-0416||在内存管理驱动程序中，由于输入验证不当，可能会出现系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题ID：ALPS05336700。
CVE-2021-0417||在内存管理驱动程序中，由于输入验证不当，可能导致系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题ID：ALPS05336702。
CVE-2021-0418||在内存管理驱动程序中，由于输入验证不当，可能会出现系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题ID：ALPS05336706。
CVE-2021-0419||在内存管理驱动程序中，由于输入验证不当，可能会出现系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题编号：ALPS05336713。
CVE-2021-0420||在内存管理驱动程序中，由于缺少边界检查，可能出现系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题编号：ALPS05381065。
CVE-2021-0421||在内存管理驱动中，由于缺少边界检查，可能存在信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499; 问题编号: ALPS05381235.
CVE-2021-0422||在内存管理驱动程序中，由于缺少边界检查，可能出现系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题编号：ALPS05381071。
CVE-2021-0423||在内存管理驱动程序中，由于未初始化的数据，可能存在信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题ID：ALPS05385714。
CVE-2021-0424||在内存管理驱动程序中，由于缺少边界检查，可能出现系统崩溃。这可能导致本地拒绝服务，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题ID：ALPS05393787。
CVE-2021-0425||在内存管理驱动程序中，存在一个可能的侧信道信息泄露。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。补丁ID。ALPS05403499；问题编号：ALPS05400059。
CVE-2021-0426||在LogEvent.cpp的parsePrimaryFieldFirstUidAnnotation中，由于堆缓冲区溢出，可能存在越界写入。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-174485572
CVE-2021-0427||在LogEvent.cpp的parseExclusiveStateAnnotation中，由于堆缓冲区溢出，可能存在越界写入。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-11Android ID: A-174488848
CVE-2021-0428||在TelephonyManager.java的getSimSerialNumber中，由于缺少权限检查，存在读取可追踪标识符的可能。这可能导致本地信息泄露，需要用户执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-10Android ID: A-173421434
CVE-2021-0429||在ALooper.cpp的pollOnce中，由于释放后使用，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-9 Android-10 Android-11 Android-8.1Android ID: A-175074139
CVE-2021-0430||在rw_mfc.cc的rw_mfc_handle_read_op中，由于缺少边界检查，可能存在越界写入。这可能导致通过恶意的NFC数据包进行远程代码执行，不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-10 Android-11Android ID: A-178725766
