CVE-2022-21932||Microsoft Dynamics 365 Customer Engagement跨站脚本漏洞。
CVE-2022-22675||一个越界写入问题已通过改进的边界检查得到解决。这个问题在tvOS 15.5、watchOS 8.6、macOS Big Sur 11.6.6、macOS Monterey 12.3.1、iOS 15.4.1和iPadOS 15.4.1中得到修复。一个应用程序可能能够以内核权限执行任意代码。苹果知道有报告说这个问题可能已被积极利用。
CVE-2022-22676||XPC Services API中的一个事件处理程序验证问题已通过移除该服务得到解决。该问题已在macOS Monterey 12.2中修复。一个应用程序可能能够删除它没有权限的文件。
CVE-2022-22677||处理并发媒体中的一个逻辑问题已通过改进状态处理得到解决。这个问题在macOS Monterey 12.4、iOS 15.5和iPadOS 15.5中被修复。如果用户接听电话，webRTC通话中的视频自检可能会被中断。
CVE-2022-22679||7.0.1-42218-2之前的Synology DiskStation Manager (DSM)支持服务管理中的路径名限制不当（"路径穿越"）漏洞，允许远程认证用户通过未指定的载体写入任意文件。
CVE-2022-2268||3.6.8 之前的导入任何 XML 或 CSV 文件到 WordPress 插件接受所有 zip 文件，并自动提取 zip 文件而不验证提取的文件类型。允许管理员等高权限用户像PHP一样上传任意文件，导致RCE
CVE-2022-22680||7.0.1-42218-2之前Synology DiskStation Manager (DSM)的Web Server存在敏感資訊暴露給未經授權者的漏洞，遠端攻擊者可透過不明的媒介取得敏感資訊。
CVE-2022-22681||6.8.16-3506之前的Synology Photo Station访问控制管理中的会话修复漏洞，允许远程攻击者通过非指定的媒介绕过安全约束。
CVE-2022-22682|| Synology Calendar 2.4.5-10930 前的事件管理中，在网页生成过程中未正确中和输入（"跨站脚本"）的漏洞，允许远程认证的用户通过未指定的媒介注入任意网页脚本或 HTML。
CVE-2022-22683||Synology Media Server 1.8.1-2876 前的 cgi 组件中存在未检查输入大小的缓冲区复制（"经典缓冲区溢出"）漏洞，允许远程攻击者通过未指定的媒介执行任意代码。
CVE-2022-22684||6.2.4-25553 前的 Synology DiskStation Manager (DSM) 的任务管理组件存在未正确中和操作系统命令中使用的特殊元素（"操作系统命令注入"）的漏洞，允许远程认证的用户通过未指定的媒介执行任意命令。
CVE-2022-22685||Synology WebDAV Server 2.4.0-0062 前的 webapi 组件中存在不正确的限制路径名至受限目录的漏洞（「路径遍历」），允许远程认证的用户通过不明的媒介删除任意文件。
CVE-2022-22686||2.3.4-0631 前 Synology Calendar 的 webapi 组件存在跨站请求伪造 (CSRF) 漏洞，允许远程认证的用户通过非特定媒介劫持管理员的认证。
CVE-2022-22687||6.2.3-25426-3之前的Synology DiskStation Manager (DSM)认证功能中存在未检查输入大小的缓冲区复制（"经典缓冲区溢出"）漏洞，允许远程攻击者通过未指定的媒介执行任意代码。
CVE-2022-22688||6.2.4-25556-2之前的Synology DiskStation Manager (DSM)的檔案服務功能存在不適當地中和指令中使用的特殊元素(「指令注入」)的漏洞，讓遠端認證的使用者可透過不明的媒介執行任意指令。
CVE-2022-22689||CA Harvest Software Change Manager 13.0.3, 13.0.4, 14.0.0, and 14.0.1版本，由于输入验证不足，CSV导出功能中存在漏洞，可允许有权限的用户潜在地执行任意代码或命令。
CVE-2022-2269||1.8.3之前的WordPress网站文件更改监控插件在通过具有manage_options功能的用户（默认为管理员）可用的操作在SQL语句中使用用户输入之前没有进行消毒和转义，导致了SQL注入。
CVE-2022-22690|||在 Umbraco CMS 中，只要应用程序代码需要建立一个指向网站的 URL，就会使用名为 "UmbracoApplicationUrl"（或只是 "ApplicationUrl"）的配置元素。例如，当用户重设密码时，应用程序会建立一个密码重设 URL，或者当管理员邀请用户到网站时。对于小于9.2.0的Umbraco版本，如果没有特别配置应用程序的URL，攻击者可以操纵这个值并持久性地存储，影响所有使用 "UmbracoApplicationUrl "的组件的用户。例如，攻击者能够改变用户在重置密码时收到的URL，使其指向攻击者的服务器，当用户跟随这个链接时，重置令牌可以被攻击者截获，导致账户被接管。
CVE-2022-22691||部署在Umbraco内的密码重置组件在建立密码重置URL时使用请求主机头内提供的主机名。有可能操纵发送给 Umbraco 用户的 URL，使其指向攻击者的服务器，从而在链接被跟踪时泄露密码重置令牌。一个相关的漏洞（CVE-2022-22690）可能会使这个缺陷成为持久性的，从而使所有的密码重置URL在攻击成功后受到持续的影响。更多信息和相关注意事项请参见AppCheck公告。
CVE-2022-2270||在GitLab中发现一个问题，影响到14.10.5之前的所有12.4版本、15.0.4之前的所有15.0版本、15.1.1之前的所有15.1版本。GitLab由于错误的权限验证而泄露了Conan包的名称。
CVE-2022-22700||CyberArk Identity 22.1及以下版本在 "StartAuthentication "资源中，暴露了响应头 "X-CFY-TX-TM"。在某些配置中，该响应头包含不同的、可预测的值范围，可以用来确定用户是否存在于租户中。
CVE-2022-22701||PartKeepr版本至v1.4.0，在创建零件时使用URL加载附件，并允许使用'file://'URI方案，允许认证的用户读取本地文件。
CVE-2022-22702||PartKeepr版本至v1.4.0，在创建零件时使用URL上传附件的功能没有验证请求是否可以发送到本地端口，允许认证的用户进行SSRF攻击和端口枚举。
CVE-2022-22703||在 Stormshield SSO Agent 2.x before 2.1.1 and 3.x before 3.0.2 中，明文用户密码和 PSK 被包含在 .exe 安装程序的日志文件中。
CVE-2022-22704||5.4.9-r1之前用于Alpine Linux的zabbix-agent2软件包有时允许权限升级到root，因为设计时错误地预期systemd会（实际上）决定部分配置。
CVE-2022-22706||Arm Mali GPU Kernel Driver允许非特权用户实现对只读内存页的写入访问。这影响到Midgard r26p0至r31p0，Bifrost r0p0至r35p0，以及Valhall r19p0至r35p0。
CVE-2022-22707||在lighttpd 1.4.46到1.4.63中，mod_extforward插件的mod_extforward_Forwarded函数存在基于堆栈的缓冲区溢出（4字节代表-1），在非默认配置中表现为远程拒绝服务（守护进程崩溃）。非默认配置需要以一种有点不寻常的方式处理转发头。此外，32位系统比64位系统更有可能受到影响。
CVE-2022-22709||VP9视频扩展远程代码执行漏洞。
CVE-2022-2271||5.9之前的WP数据库备份WordPress插件没有转义一些设置，当unfiltered_html功能被禁止时（例如在多站点设置中），可能允许管理员等高权限用户执行存储跨站脚本攻击。
CVE-2022-22710|||Windows通用日志文件系统驱动拒绝服务漏洞。
CVE-2022-22711||Windows BitLocker 信息泄露漏洞。
CVE-2022-22712||Windows Hyper-V拒绝服务漏洞。
CVE-2022-22713||Windows Hyper-V拒绝服务漏洞。
CVE-2022-22715||Named Pipe File System Elevation of Privilege 漏洞。
CVE-2022-22716||Microsoft Excel Information Disclosure Vulnerability.
CVE-2022-22717||Windows Print Spooler权限提升漏洞。该CVE ID与CVE-2022-21997、CVE-2022-21999、CVE-2022-22718是唯一的。
CVE-2022-22718||Windows Print Spooler Elevation of Privilege Vulnerability.该CVE ID与CVE-2022-21997、CVE-2022-21999、CVE-2022-22717是唯一的。
CVE-2022-22719||精心制作的请求体可导致对随机内存区域的读取，这可能导致进程崩溃。此问题影响Apache HTTP Server 2.4.52及更早版本。
CVE-2022-2272||此漏洞允许远程攻击者在受影响的Sante PACS Server 3.0.4安装中绕过认证。利用该漏洞不需要认证。具体漏洞存在于对登录端点的调用处理中。在解析用户名元素时，该过程在使用用户提供的字符串构建SQL查询之前没有正确验证。攻击者可以利用这个漏洞绕过系统的认证。曾为ZDI-CAN-17331。
CVE-2022-22720||Apache HTTP Server 2.4.52及更早版本在遇到错误时无法关闭入站连接，丢弃请求体，使服务器暴露于HTTP请求偷渡。
CVE-2022-22721||如果在32位系统上将LimitXMLRequestBody设置为允许请求体大于350MB（默认为1M），会发生整数溢出，随后导致越界写入。这个问题影响到Apache HTTP Server 2.4.52和更早的版本。
CVE-2022-22722||A CWE-798:存在使用硬编码凭证的漏洞，可能导致信息泄露。如果攻击者获得设备的SSH加密密钥，并主动控制连接到产品的本地操作网络，他们就有可能观察和操纵与产品配置相关的流量。受影响的产品。Easergy P5 (V01.401.101之前的所有固件版本)
CVE-2022-22723||A CWE-120: Buffer Copy without Checking Size of Input 漏洞存在，当特制数据包通过网络发送至设备时，可能导致缓冲区溢出，造成程序崩溃和任意代码执行。通过GOOSE的保护功能和跳闸功能可能会受到影响。受影响的产品。Easergy P5 (V01.401.101之前的所有固件版本)
CVE-2022-22724||A CWE-400：存在不受控制的资源消耗漏洞，当向PLC的任何开放TCP端口发送大量TCP RST或FIN数据包时，可能导致端口80（HTTP）和502（Modbus）拒绝服务。受影响的产品。Modicon M340 CPUs。BMXP34 (所有版本)
CVE-2022-22725||A CWE-120: Buffer Copy without Checking Size of Input 漏洞存在，当通过网络向设备发送特制的数据包时，可能导致缓冲区溢出，造成程序崩溃和任意代码执行。通过GOOSE的保护功能和跳闸功能可能会受到影响。受影响的产品。Easergy P3 (V30.205之前的所有版本)
CVE-2022-22726||A CWE-20。存在不正确的输入验证漏洞，可允许认证用户通过有限的操作系统服务账户读取服务器上的任意文件。受影响的产品。EcoStruxure电力监控专家（2020年及以前版本）。
CVE-2022-22727||A CWE-20。存在不正确的输入验证漏洞，当用户点击特制的链接时，未认证的攻击者可以查看数据、更改设置、影响软件的可用性或潜在地影响用户的本地机器。受影响的产品。EcoStruxure电力监控专家（2020年及以前版本）。
CVE-2022-22728||Apache libapreq2 2.16及以前版本中的一个缺陷，在处理多部分表单上传时可能导致缓冲区溢出。远程攻击者可以发送请求，造成进程崩溃，从而导致拒绝服务攻击。
CVE-2022-22729||以下横河电机产品中包含的HIS服务器的CAMS不适当地验证了接收数据包。该认证可能通过一些精心制作的数据包被绕过。CENTUM CS 3000版本从R3.08.10到R3.09.00，CENTUM VP版本从R4.01.00到R4.03.00，从R5.01.00到R5.04.20，从R6.01.00到R6.08.00，以及Exaopc版本从R3.72.00到R3.79.00。
CVE-2022-2273||4.1.3之前的简单会员制WordPress插件在编辑个人资料时没有正确验证 membership_level参数，允许会员通过使用精心设计的POST请求升级到更高的会员级别。
CVE-2022-22730||版本2.6.1之前的Intel(R)Edge Insights for Industrial软件中的不当认证可能允许未经认证的用户通过网络访问实现潜在的权限升级。
CVE-2022-22733||Apache ShardingSphere ElasticJob-UI 中的敏感信息暴露给未经授权的行为者漏洞允许拥有访客账户的攻击者进行权限升级。此问题影响Apache ShardingSphere ElasticJob-UI的3.x版本3.0.0及以前版本。
CVE-2022-22734WordPress插件1.3.2版本在创建或编辑报价时没有CSRF检查，也没有对报价进行消毒和转义。因此，攻击者可以让登录的管理员创建或编辑任意报价，并在其中放入跨网站脚本有效载荷。
CVE-2022-22735WordPress插件在1.3.2版本中没有授权（和CSRF）检查，在SQL语句中使用用户数据时没有转义，允许任何认证用户，如订阅者进行SQL注入攻击。
CVE-2022-22736||如果Firefox安装到一个可写入世界的目录，当Firefox搜索当前目录的系统库时，可能发生本地权限升级。然而，安装目录在默认情况下不是世界可写的。<br>*这个错误只影响到非默认安装中的Windows版Firefox。其他操作系统不受影响。*.这个漏洞影响到Firefox < 96。
CVE-2022-22737||在播放音频文件和关闭窗口时，构建音频汇可能会导致一个竞赛条件。这可能导致使用后的自由，造成潜在的可利用的崩溃。此漏洞影响 Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22738||应用CSS滤镜效果时，可能会访问界外内存。这可能导致堆缓冲区溢出，造成可能被利用的崩溃。此漏洞影响 Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22739||恶意网站可能诱使用户接受启动程序来处理外部URL协议。此漏洞影响 Firefox ESR < 91.5、Firefox < 96 和 Thunderbird < 91.5。
CVE-2022-2274||OpenSSL 3.0.4版本在支持AVX512IFMA指令的X86_64 CPU的RSA实现中引入了一个严重错误。这个问题使得在这种机器上使用2048位私钥的RSA实现不正确，在计算过程中会发生内存损坏。由于内存损坏，攻击者可能会在执行计算的机器上触发远程代码执行。在支持X86_64架构AVX512IFMA指令的机器上运行的SSL/TLS服务器或其他使用2048位RSA私钥的服务器受此问题影响。
CVE-2022-22740||某些网络请求对象在释放网络请求句柄时被过早释放。这可能导致释放后使用，造成潜在的可利用的崩溃。此漏洞影响 Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22741|||当调整弹出窗口的大小，同时请求全屏访问时，弹出窗口会变得无法离开全屏模式。此漏洞影响到 Firefox ESR < 91.5、Firefox < 96 和 Thunderbird < 91.5。
CVE-2022-22742||在编辑模式下插入文本时，一些字符可能导致越界内存访问，导致潜在的可利用崩溃。此漏洞影响 Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22743|||当从iframe内导航，同时请求全屏访问时，攻击者控制的标签可能导致浏览器无法离开全屏模式。该漏洞影响到 Firefox ESR < 91.5、Firefox < 96 和 Thunderbird < 91.5。
CVE-2022-22744||DevTools中 "Copy as curl "功能中构建的curl命令没有为PowerShell正确转义。如果粘贴到Powershell提示符中，可能会导致命令注入。<br>*此错误仅影响Windows版Thunderbird。其他操作系统不受影响。该漏洞影响Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22745||Securitypolicyviolation事件可能会泄露违反frame-ancestors的跨源信息。此漏洞影响Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5。
CVE-2022-22746||一个竞赛条件可能允许绕过全屏通知，这可能导致全屏窗口的欺骗行为不被注意。其他操作系统不受影响。*.该漏洞影响Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22747||在接受一个不受信任的证书后，处理作为证书数据一部分的空pkcs7序列可能导致崩溃。这个崩溃被认为是不可利用的。该漏洞影响Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5。
CVE-2022-22748||恶意网站在要求启动程序和处理外部 URL 协议时，可能使火狐浏览器显示错误的来源。此漏洞影响Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5。
CVE-2022-22749||当扫描QR码时，Firefox for Android会允许导航到一些不指向网络内容的URL。<br>*此漏洞仅影响Firefox for Android。其他操作系统不受影响。*.这个漏洞影响到Firefox < 96.
CVE-2022-2275||1.5.0之前的WP编辑菜单WordPress插件在AJAX动作中没有CSRF，这可能允许攻击者通过CSRF攻击使登录的管理员删除博客中的任意帖子/页面
CVE-2022-22750|||通过普遍接受和传递跨进程的资源句柄，被破坏的内容进程可能混淆了较高权限的进程，与非特权进程不应访问的句柄进行互动。<br>*此错误仅影响Windows和MacOS的Firefox。其他操作系统不受影响。*.这个漏洞影响到Firefox < 96。
CVE-2022-22751||Mozilla开发人员Calixte Denizet、Kershaw Chang、Christian Holler、Jason Kratzer、Gabriele Svelto、Tyson Smith、Simon Giesecke和Steve Fink报告了Firefox 95和Firefox ESR 91.4存在的内存安全漏洞。其中一些漏洞显示了内存损坏的证据，我们推测，只要付出足够的努力，其中一些漏洞可以被利用来运行任意代码。该漏洞影响到Firefox ESR < 91.5, Firefox < 96, 和 Thunderbird < 91.5.
CVE-2022-22752||Mozilla开发人员Christian Holler和Jason Kratzer报告了Firefox 95中存在的内存安全漏洞。其中一些漏洞显示了内存损坏的证据，我们推测，只要付出足够的努力，其中一些漏洞可以被利用来运行任意代码。这个漏洞影响到Firefox < 96.
CVE-2022-22753 在维护（Updater）服务中存在一个检查时间的漏洞，可被滥用以授予用户对任意目录的写入权限。这可能被用来升级为系统访问。<br>*这个错误只影响到Windows上的Firefox。其他操作系统不受影响。该漏洞影响Firefox < 97, Thunderbird < 91.6, and Firefox ESR < 91.6.
CVE-2022-22754||如果用户安装了一个特定类型的扩展，该扩展可能已经自动更新了自己，并在这样做的同时，绕过提示，授予新版本的新请求权限。该漏洞影响Firefox < 97, Thunderbird < 91.6, 和Firefox ESR < 91.6.
CVE-2022-22755通过使用XSL转换，恶意的网络服务器可以向用户提供一个XSL文档，该文档将继续执行JavaScript（在同源策略的范围内），即使标签被关闭。该漏洞影响到Firefox < 97。
CVE-2022-22756||如果用户被说服拖放图片到他们的桌面或其他文件夹，产生的对象可能被改变为可执行的脚本，在用户点击它后会运行任意代码。该漏洞影响Firefox < 97, Thunderbird < 91.6, and Firefox ESR < 91.6.
CVE-2022-22757||WebDriver中使用的Remote Agent没有验证Host或Origin头文件。这可能允许网站在本地连接到用户的浏览器来控制它。<br>*此漏洞仅在WebDriver启用时影响火狐浏览器，而WebDriver并非默认配置*。这个漏洞影响到Firefox < 97。
CVE-2022-22758||当点击tel:链接时，在<code>\*</code>字符后指定的USSD代码会被包含在电话号码中。在某些手机上，或者在某些运营商上，如果号码被拨出，这可能会对用户的账户进行操作，类似于跨站请求伪造攻击。<br>*这个错误只影响到Firefox for Android。其他操作系统不受影响。*.这个漏洞影响到Firefox < 97。
CVE-2022-22759||如果一个文档创建了一个没有<code>allow-scripts</code>的沙盒iframe，并随后在iframe的文档中附加了一个元素，例如有一个JavaScript事件处理程序--尽管iframe有沙盒，该事件处理程序还是会运行。该漏洞影响到Firefox < 97，Thunderbird < 91.6，以及Firefox ESR < 91.6。
CVE-2022-2276||1.5.0之前的WP编辑菜单WordPress插件在AJAX操作中没有授权和CSRF，这可能允许未经认证的攻击者从博客中删除任意文章/页面。
CVE-2022-22760|||使用Web Workers导入资源时，错误信息会区分<code>application/javascript</code>响应和非脚本响应之间的区别。这可能被滥用，以了解跨源信息。该漏洞影响到Firefox < 97、Thunderbird < 91.6和Firefox ESR < 91.6。
CVE-2022-22761||网络可访问扩展页面（具有moz-extension://方案的页面）在网络扩展的内容安全策略中使用frame-ancestors指令时，没有正确执行该指令。该漏洞影响到Firefox < 97、Thunderbird < 91.6和Firefox ESR < 91.6。
CVE-2022-22762在某些情况下，一个JavaScript警报（或提示）可能会被显示，而另一个网站则显示在它下面。这可能被滥用来欺骗用户。<br>*这个错误只影响到Firefox for Android。其他操作系统不受影响。*.此漏洞影响到火狐浏览器<97。
CVE-2022-22763|||当工作者被关闭时，有可能导致脚本在生命周期的后期运行，在不应该运行的点之后。此漏洞影响到 Firefox < 96、Thunderbird < 91.6 和 Firefox ESR < 91.6。
CVE-2022-22764||Mozilla开发人员Paul Adenot和Mozilla Fuzzing团队报告了Firefox 96和Firefox ESR 91.5中存在的内存安全漏洞。其中一些漏洞显示了内存损坏的证据，我们推测，只要付出足够的努力，其中一些漏洞可以被利用来运行任意代码。该漏洞影响到Firefox < 97, Thunderbird < 91.6, 和Firefox ESR < 91.6.
CVE-2022-22765||BD Viper LT系统，2.0及以后的版本，包含硬编码凭证。如果被利用，威胁者可能会访问、修改或删除敏感信息，包括电子健康保护信息（ePHI）、受保护的健康信息（PHI）和个人身份信息（PII）。BD Viper LT系统4.0及以后的版本采用微软Windows 10，并有额外的操作系统加固配置，增加了利用该漏洞所需的攻击复杂性。
CVE-2022-22766）在特定的BD Pyxis产品中使用了硬编码凭证。如果被利用，威胁者可能会获得对底层文件系统的访问，并有可能利用应用程序文件的信息，这些信息可用于解密应用程序凭证或获得对电子健康信息（ePHI）或其他敏感信息的访问。
CVE-2022-22767--特定的BD Pyxis™产品在安装时使用了默认凭证，目前可能仍在使用这些凭证操作。在某些情况下，BD Pyxis™产品在安装时使用了相同的默认本地操作系统凭证或域连接的服务器凭证，这些凭证可能在不同产品类型中共享。如果被利用，威胁者可能会获得对底层文件系统的特权访问，并有可能利用或获得电子健康保险或其他敏感信息。
CVE-2022-22769||TIBCO Software Inc.的TIBCO EBX、TIBCO EBX、TIBCO EBX Add-ons、TIBCO EBX Add-ons、TIBCO EBX Add-ons和TIBCO Product and Service Catalog powered by TIBCO EBX的网络服务器组件包含一个容易被利用的漏洞，允许具有网络访问权限的低权限攻击者在受影响系统上执行存储跨站点脚本（XSS）。使用该漏洞的成功攻击需要攻击者以外的人的互动。受影响的版本是TIBCO软件公司的TIBCO EBX：5.8.124及以下版本，TIBCO EBX：5.9.3, 5.9.4, 5.9.5, 5.9.6, 5.9.7, 5.9.8, 5.9.9, 5.9.10, 5.9.11, 5.9.12, 5.9.13, 5.9.14, and 5.9.15, TIBCO EBX: 版本6.0.0, 6.0.1, 6.0.2, and 6.0.3, TIBCO EBX Add-ons: 版本3.20.18及以下, TIBCO EBX Add-ons: 版本 4.1.0, 4.2.0, 4.2.1, 4.2.2, 4.3.0, 4.3.1, 4.3.2, 4.3.3, 4.3.4, 4.4.0, 4.4.1, 4.4.2, 4.4.3, 4.5.0, 4.5.1, 4.5.2, 4.5.3, 4.5.4, 4.5.5, 和4.5.6，TIBCO EBX插件：5.0.0、5.0.1、5.1.0、5.1.1和5.2.0版本，以及由TIBCO EBX驱动的TIBCO产品和服务目录：1.1.0及以下版本。
CVE-2022-2277||不当输入验证漏洞存在于日立能源MicroSCADA X SYS600的ICCP堆栈中，在ICCP通信建立期间，当SYS600的ICCP被请求转发任何时间戳太远的数据项更新到任何远程ICCP系统时，会造成拒绝服务。默认情况下，ICCP没有被配置，也没有被启用。这个问题影响到。cpe:2.3:a:hitachienergy:microscada_x_sys600:10.2:*:*:*:*:*:* cpe:2.3:a:hitachienergy:microscada_x_sys600:10.2.1:*:*:*:*:*:*:* cpe:2.3:a:hitachienergy:microscada_x_sys600:10.3:*:*:*:*:*:*:* cpe:2.3:a:hitachienergy:microscada_x_sys600:10.3.1:*:*:*:*:*:*:*
CVE-2022-22770||TIBCO Software Inc.的TIBCO AuditSafe的Web服务器组件包含一个容易被利用的漏洞，允许具有网络访问权的未经认证的攻击者在受影响系统上执行API方法。受影响的版本是TIBCO Software Inc.的TIBCO AuditSafe：1.1.0及以下版本。
CVE-2022-22771 TIBCO Software Inc.的TIBCO JasperReports Library、TIBCO JasperReports Library for ActiveMatrix BPM、TIBCO JasperReports Server、TIBCO JasperReports Server for AWS Marketplace、TIBCO JasperReports Server for ActiveMatrix BPM和TIBCO JasperReports Server for Microsoft Azure的服务器组件包含一个目录穿越漏洞，理论上可能允许网络服务器用户访问主机系统的内容。受影响的版本包括TIBCO软件公司的TIBCO JasperReports Library：7.9.0版本，TIBCO JasperReports Library for ActiveMatrix BPM：7.9.0版本，TIBCO JasperReports Server：7.9.0和7.9.1, TIBCO JasperReports Server for AWS Marketplace: versions 7.9.0 and 7.9.1, TIBCO JasperReports Server for ActiveMatrix BPM: versions 7.9.0 and 7.9.1, 以及TIBCO JasperReports Server for Microsoft Azure: version 7.9.1.
CVE-2022-22772||TIBCO Software Inc.的TIBCO Managed File Transfer Platform Server for UNIX和TIBCO Managed File Transfer Platform Server for z/Linux的cfsend、cfrecv和CyberResp组件包含一个难以利用的远程代码执行（RCE）漏洞，允许具有网络访问权限的低权限攻击者在受影响系统中执行任意代码。受影响的版本是TIBCO软件公司的TIBCO Managed File Transfer Platform Server for UNIX：8.1.0及以下版本和TIBCO Managed File Transfer Platform Server for z/Linux：8.1.0及以下版本。
CVE-2022-22773||TIBCO Software Inc.的TIBCO JasperReports Server、TIBCO JasperReports Server - Community Edition、TIBCO JasperReports Server - Developer Edition、TIBCO JasperReports Server for AWS Marketplace、TIBCO JasperReports Server for ActiveMatrix BPM和TIBCO JasperReports Server for Microsoft Azure含有难以利用的反射型跨站脚本（XSS）漏洞，允许具有网络访问权限的低权限攻击者执行针对受影响系统或受害者本地系统的脚本。受影响的版本是TIBCO软件公司的TIBCO JasperReports Server：8.0.1及以下版本，TIBCO JasperReports Server - Community Edition：8.0.1及以下版本，TIBCO JasperReports Server - Developer Edition：8.0.0及以下版本，TIBCO JasperReports Server for AWS Marketplace：8.0.1及以下版本，TIBCO JasperReports Server for ActiveMatrix BPM：7.9.2及以下版本，以及TIBCO JasperReports Server for Microsoft Azure：8.0.1及以下版本。
CVE-2022-22774||TIBCO Software Inc.的TIBCO Managed File Transfer Command Center、TIBCO Managed File Transfer Command Center、TIBCO Managed File Transfer Internet Server和TIBCO Managed File Transfer Internet Server的DOM XML解析器和SAX XML解析器组件包含一个容易被利用的漏洞，允许具有网络访问权限的未认证攻击者在受影响系统上执行XML外部实体（XXE）攻击。受影响的版本是TIBCO软件公司的TIBCO管理文件传输命令中心：8.3.1及以下版本，TIBCO管理文件传输命令中心：8.4.0和8.4.1版本，TIBCO管理文件传输互联网服务器：8.3.1及以下版本，以及TIBCO管理文件传输互联网服务器：8.4.0和8.4.1版本。
CVE-2022-22775||TIBCO Software Inc.的TIBCO BPM Enterprise和TIBCO BPM Enterprise Distribution for TIBCO Silver Fabric的工作区客户端组件包含难以利用的反射式跨站脚本（XSS）漏洞，允许具有网络访问权的低权限攻击者执行针对受影响系统或受害者本地系统的脚本。受影响的版本是TIBCO软件公司的TIBCO BPM Enterprise：4.3.1及以下版本和TIBCO BPM Enterprise Distribution for TIBCO Silver Fabric：4.3.1及以下版本。
CVE-2022-22776||TIBCO Software Inc.的TIBCO BusinessConnect Trading Community Management的网络服务器组件包含易被利用的漏洞，允许具有网络访问权限的低权限攻击者在受影响系统上执行存储跨站脚本（XSS）。使用这些漏洞的成功攻击需要攻击者以外的人的互动。受影响的版本是TIBCO Software Inc.的TIBCO BusinessConnect Trading Community Management：6.1.0及以下版本。
CVE-2022-22777||TIBCO Software Inc.的TIBCO BusinessConnect Trading Community Management的Web服务器组件包含容易被利用的反射式跨站脚本（XSS）漏洞，允许具有网络访问权的未经认证的攻击者执行针对受影响系统或受害者本地系统的脚本。受影响的版本是TIBCO Software Inc.的TIBCO BusinessConnect Trading Community Management：6.1.0及以下版本。
CVE-2022-22778||TIBCO Software Inc.的TIBCO BusinessConnect Trading Community Management的Web服务器组件包含一个容易被利用的漏洞，允许有网络访问权的未经认证的攻击者在受影响系统上执行跨站请求伪造（CSRF）。使用该漏洞的成功攻击需要攻击者以外的人的互动。受影响的版本是TIBCO Software Inc.的TIBCO BusinessConnect Trading Community Management：6.1.0及以下版本。
CVE-2022-22779||版本5.9.0之前的macOS和Windows的Keybase客户端未能正确删除由用户发起的爆炸性信息。如果接收用户切换到非聊天功能，并在发送用户爆炸信息之前将主机置于睡眠状态，就会发生这种情况。这可能导致本应从用户文件系统中删除的敏感信息被泄露。
CVE-2022-2278||4.0.1之前的WordPress插件FIFU没有验证、净化和转义一些设置，这可能允许管理员等高权限用户在不允许unfiltered_html功能时进行存储跨站脚本攻击（例如在多站点设置中）。
CVE-2022-22780||在以下产品版本中，Zoom Client for Meetings聊天功能容易受到Zip bombing攻击。版本5.8.6之前的Android、版本5.9.0之前的iOS、版本5.8.6之前的Linux、版本5.7.3之前的macOS和版本5.6.3之前的Windows。这可能导致客户端主机因耗尽系统资源而产生可用性问题。
CVE-2022-22781||版本5.9.6之前的MacOS（标准版和IT管理版）Zoom Client for Meetings未能在更新过程中正确检查软件包版本。这可能导致恶意行为者将毫无戒心的用户当前安装的版本更新为较不安全的版本。
CVE-2022-22782||版本5.9.7之前的Zoom Client for Meetings for Windows、版本5.10.0之前的Zoom Rooms for Conference Room for Windows、版本5.10.3之前的Zoom Plugins for Microsoft Outlook for Windows和版本5.9.6之前的Zoom VDI Windows会议客户端；在安装程序修复操作中容易发生本地权限升级问题。恶意行为者可能会利用这一点删除系统级文件或文件夹，导致用户主机的完整性或可用性问题。
CVE-2022-22783||Zoom On-Premise Meeting Connector Controller version 4.8.102.20220310 和 On-Premise Meeting Connector MMR version 4.8.102.20220310 中的一个漏洞将进程内存片段暴露给连接的客户端，被动攻击者可以观察到。
CVE-2022-22784||版本5.10.0之前的Zoom Client for Meetings（用于Android、iOS、Linux、MacOS和Windows）未能正确解析XMPP消息中的XML句子。这可以让恶意用户脱离当前的XMPP消息上下文，并创建一个新的消息上下文，让接收的用户客户端执行各种操作。这个问题可用于更复杂的攻击，从服务器伪造XMPP消息。
CVE-2022-22785||版本5.10.0之前的Zoom Client for Meetings（适用于Android、iOS、Linux、MacOS和Windows）未能正确地将客户端会话cookie限制在Zoom域内。这个问题可能被用于更复杂的攻击，将毫无戒心的用户的Zoom范围内的会话cookie发送到非Zoom域。这有可能允许对Zoom用户进行欺骗。
