CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-23281||伊顿智能电源管理器（IPM）在1.69之前存在未经授权的远程代码执行漏洞。IPM软件没有对meta_driver_srv.js类中通过coverterCheckList动作提供的日期进行消毒。攻击者可以发送特制的数据包，使IPM连接到胭脂虫SNMP服务器并执行攻击者控制的代码。
CVE-2021-23283||伊顿智能电源保护器（IPP）在1.69版本之前存在存储跨站脚本的漏洞。该漏洞的存在是由于对用户输入的验证不足以及对IPP软件内某些资源的输出编码不当。
CVE-2021-23284||Eaton Intelligent Power Manager Infrastructure (IPM Infrastructure)1.5.0plus205版本和所有之前的版本存在存储跨站脚本的漏洞。这个问题影响到。Eaton Intelligent Power Manager Infrastructure (IPM Infrastructure)所有版本1.5.0plus205和之前的版本。
CVE-2021-23285||Eaton Intelligent Power Manager Infrastructure (IPM Infrastructure)1.5.0plus205版本及之前的所有版本均存在反映跨站脚本漏洞。此问题影响到。伊顿智能电源管理器基础设施（IPM基础设施）所有版本1.5.0plus205和之前的版本。
CVE-2021-23286||Eaton Intelligent Power Manager Infrastructure (IPM Infrastructure)1.5.0plus205版和所有之前的版本存在CSV公式注入漏洞。这个问题影响到。伊顿智能电源管理器基础设施（IPM基础设施）所有版本1.5.0plus205和之前的版本。
CVE-2021-23287||该漏洞的存在是由于对IPM软件内某些资源的输入验证不足。此问题影响到。1.70之前的智能电源管理器（IPM 1）版本。
CVE-2021-23288|||由于 IPP 软件对某些资源的输入验证不足，存在该漏洞。攻击者需要访问本地子网和管理员互动来破坏系统。这个问题会影响到。1.69之前的智能电源保护器版本。
CVE-2021-2329）Oracle数据库服务器的Oracle XML DB组件存在漏洞。受影响的支持版本是12.1.0.2，12.2.0.1和19c。容易被利用的漏洞允许拥有创建任何程序、创建公共同义词权限的高权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle XML DB。成功攻击该漏洞可导致对Oracle XML DB的接管。CVSS 3.1基础得分7.2（保密性、完整性和可用性影响）。CVSS矢量：（CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H）。
CVE-2021-2330||Oracle数据库服务器的核心RDBMS组件中存在漏洞。受影响的支持版本是19c。容易被利用的漏洞允许拥有创建表权限的低权限攻击者通过Oracle Net进行网络访问，从而破坏核心RDBMS。成功攻击该漏洞可导致未经授权的能力，造成Core RDBMS的部分拒绝服务（部分DOS）。CVSS 3.1基本得分4.3（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L) 。
CVE-2021-2332||Oracle数据库服务器的Oracle LogMiner组件中存在漏洞。受影响的支持版本为12.1.0.2、12.2.0.1和19c。容易被利用的漏洞允许具有DBA权限的高权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle LogMiner。该漏洞的成功攻击可导致对关键数据或所有Oracle LogMiner可访问数据的未经授权的创建、删除或修改访问，以及对Oracle LogMiner可访问数据子集的未经授权的读取访问，以及导致Oracle LogMiner挂起或经常重复崩溃（完全DOS）的未经授权的能力。CVSS 3.1基本得分6.7（保密性、完整性和可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:H/A:H)。
CVE-2021-23326||这影响到6.2.6之前的软件包@graphql-tools/git-loader。在 packages/loaders/git/src/load-git.ts 中使用 exec 和 execSync 允许任意命令注入。
CVE-2021-23327||3.24.0 之前的软件包 apexcharts 通过缺乏对图形图例字段的处理，容易受到跨站脚本攻击(XSS)。
CVE-2021-23328||这影响到软件包 iniparserjs 的所有版本。该漏洞与 ini_parser.js 在集中处理数组时有关。根据是否提供用户输入，攻击者可以覆盖并污染程序的对象原型。
CVE-2021-23329||1.0.4之前的nested-object-assign包存在通过默认函数污染原型的漏洞，通过运行下面的PoC可以看到。
CVE-2021-2333||Oracle数据库服务器的Oracle XML DB组件中存在漏洞。受影响的支持版本是12.1.0.2、12.2.0.1和19c。容易被利用的漏洞允许拥有改变用户权限的高权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle XML DB。成功攻击该漏洞可导致对关键数据的未授权访问或对所有Oracle XML DB可访问数据的完全访问。CVSS 3.1基本得分4.9（保密性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N)。
CVE-2021-23330|||所有版本的软件包launchpad都有通过停止进行命令注入的漏洞。
CVE-2021-23331||这影响到软件包 com.squareup:connect 的所有版本。prepareDownloadFilecreates方法在类unix系统上创建权限位为-rw-r--的临时文件。在类unix系统上，系统临时目录在用户之间是共享的。因此，由 downloadFileFromResponse 下载的文件的内容对于本地系统的所有其他用户来说是可见的。这个问题的变通解决方法是将系统属性java.io.tmpdir设置为安全目录作为补救措施。注意：该版本的SDK已经过期，不再维护，请升级到最新版本。
cve-2021-23334||**拒绝 **不要使用这个候选编号。ConsultIDs: none.原因是。这个候选者被其CNA撤回了。进一步的调查显示，这不是一个安全问题。备注：无。
CVE-2021-23335||所有版本的软件包is-user-valid都存在LDAP注入漏洞，可能导致认证绕过或信息暴露。
CVE-2021-23336||0及3.6.13之前、3.7.0及3.7.10之前、3.8.0及3.8.8之前、3.9.0及3.9.2之前的软件包python/cpython存在通过urllib.parse.parse_qsl和urllib.parse.parse_qs进行网络缓存中毒的漏洞，使用的媒介称为参数隐藏。当攻击者可以使用分号（;）分隔查询参数时，他们可以导致代理（以默认配置运行）和服务器之间对请求的解释不同。这可能导致恶意请求被缓存为完全安全的请求，因为代理通常不会将分号视为分隔符，因此不会将其纳入未键入参数的缓存密钥。
CVE-2021-23337||4.17.21之前的Lodash版本容易受到通过模板函数的命令注入。
CVE-2021-23338||这影响到软件包qlib的所有版本。qlib的cli部分的工作流函数使用了一个不安全的YAML加载函数。
CVE-2021-23339||这影响到软件包 com.typesafe.akka:akka-http-core 在 10.1.14 之前和 10.2.0 至 10.2.4 的所有版本。它允许多个 Transfer-Encoding headers。
CVE-2021-2334||Oracle数据库服务器的Oracle数据库-企业版数据重新处理组件中存在漏洞。受影响的支持版本为12.1.0.2、12.2.0.1和19c。容易被利用的漏洞允许拥有创建会话权限的低权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle数据库-企业版数据重新处理。成功的攻击需要攻击者以外的人的互动。对该漏洞的成功攻击可能会导致对某些Oracle数据库-企业版数据重新处理可访问数据的未经授权的更新、插入或删除访问。CVSS 3.1基础得分3.5（完整性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N）。
CVE-2021-23340|||这影响到6.8.8之前的软件包pimcore/pimcore。CustomReportController类（bundles/AdminBundle/Controller/Reports/CustomReportController.php）的downloadCsvAction函数中存在一个本地文件包含漏洞。一个经过认证的用户可以通过以下端点的GET请求到达这个函数。/admin/reports/custom-report/download-csv?exportFile=&91;filename]。由于exportFile变量没有经过处理，攻击者可以利用本地文件包含漏洞。
CVE-2021-23341||1.23.0之前的软件包prismjs存在通过prism-asciidoc、prism-rest、prism-tap和prism-eiffel组件拒绝服务（ReDoS）的漏洞。
CVE-2021-23342||这影响到4.12.0之前的软件包docsify。有可能绕过CVE-2020-7680所做的补救，并通过以下方法执行恶意的JavaScript 1) 当解析来自远程URL的HTML时，主页面的HTML代码被消毒，但这种消毒并没有在侧边栏进行。2) isURL的外部检查可以通过插入更多的"////"字符来绕过。
CVE-2021-23343||所有版本的软件包path-parse都存在通过splitDeviceRe、splitTailRe和splitPathRe正则表达式拒绝服务（ReDoS）的风险。ReDoS表现出多项式的最坏情况下的时间复杂性。
CVE-2021-23344||3.4.8之前的软件包total.js存在通过set进行远程代码执行（RCE）的漏洞。
CVE-2021-23345||所有版本的软件包github.com/thecodingmachine/gotenberg在HTML元素的src属性指向内部系统文件（如<iframe src='file://etc/passwd'>）时，容易通过/convert/html端点造成服务器端请求伪造（SSRF）。
CVE-2021-23346||这影响到2.0.1之前的软件包html-parse-stringify；软件包html-parse-stringify2的所有版本。发送某些输入可能导致用于解析的一个正则表达式回溯，从而冻结进程。
CVE-2021-23347||包github.com/argoproj/argo-cd/cmd在1.7.13之前，从1.8.0和1.8.6之前都存在跨站脚本（XSS）的漏洞，连接到Argo CD的SSO提供者必须向用户发回含有JavaScript的恶意错误信息。
CVE-2021-23348||这影响到1.0.5之前的软件包portprocesses。如果（攻击者控制的）用户输入到killProcess函数，攻击者就有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-2335||Oracle数据库服务器的Oracle数据库-企业版数据重新处理组件中存在漏洞。受影响的支持版本为12.1.0.2、12.2.0.1和19c。容易被利用的漏洞允许拥有创建会话权限的低权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle数据库-企业版数据重新处理。成功的攻击需要攻击者以外的人的互动。对该漏洞的成功攻击可能会导致对某些Oracle数据库-企业版数据重新处理可访问数据的未经授权的更新、插入或删除访问。CVSS 3.1基础得分3.5（完整性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N）。
CVE-2021-23351||0.5.0之前的软件包github.com/pires/go-proxyproto存在通过parseVersion1()函数拒绝服务（DoS）的问题。该软件包中的阅读器是一个默认的bufio.Reader，包裹着net.Conn。它将从连接中读取，直到找到一个换行。由于代码中没有实现任何限制，一个故意的畸形的V1头可以被用来耗尽使用该代码的服务器进程的内存--并创造一个DoS。这可以通过发送一个以PROXY开始的数据流并继续发送数据（不包含换行）直到目标停止确认来利用。这里的风险很小，因为只有受信任的来源才允许发送代理协议头。
CVE-2021-23352||这影响到4.0.1之前的软件包madge。可以通过 graphVizPath 选项参数指定自定义 Graphviz 路径，当调用 .image()、.svg() 或 .dot() 函数时，由 childprocess.exec 函数执行。
CVE-2021-23353||这影响到2.3.1之前的软件包jspdf。通过addImage函数可以实现ReDoS。
CVE-2021-23354||0.6.1之前的软件包printf存在正则表达式拒绝服务(ReDoS)漏洞，可通过重码字符串/\%(?:\(([\w_.]+)\)|([1-9]\d*)\$)?([0 +\-\]*)(\*|\d+)?(\.)?(\*|\d+)?[hlL]?([\%bscdeEfFgGioOuxX])/g in lib/printf.js.有漏洞的正则表达式具有立方的最坏情况下的时间复杂性。
CVE-2021-23355|||这影响到所有版本的软件包ps-kill。如果（攻击者控制的）用户输入被提供给kill函数，攻击者有可能执行任意命令。这是由于在index.js文件中使用child_process exec函数而没有对输入进行消毒。PoC（由记者提供）：var ps_kill = require('ps-kill'); ps_kill.kill('$(touch success)',function(){})。
CVE-2021-23356||这影响到所有版本的软件包kill-process-by-name。如果给出（攻击者控制的）用户输入，攻击者有可能执行任意命令。这是由于在index.js文件中使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23357||所有版本的软件包github.com/tyktechnologies/tyk/gateway都存在通过handleAddOrUpdateApi函数进行目录遍历的漏洞。该函数能够通过管理API删除Tyk运行的磁盘上的任意JSON文件。APIID由用户提供，然后这个值被用来在磁盘上创建一个文件。如果发现有相同名称的文件，那么它将被删除，然后用API创建请求的内容重新创建。
CVE-2021-23358||从1.13.0-0和1.13.0-2之前，从1.3.2和1.12.1之前的underscore包存在通过模板函数进行任意代码注入的漏洞，特别是当变量属性作为参数被传递时，因为它没有经过消毒。
CVE-2021-23359||这影响到所有版本的软件包port-killer。如果给出（攻击者控制的）用户输入，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。运行此PoC将导致执行触摸成功的命令，导致创建一个名为成功的文件。
CVE-2021-2336||Oracle数据库服务器的Oracle数据库-企业版数据重新处理组件中存在漏洞。受影响的支持版本为12.1.0.2、12.2.0.1和19c。容易被利用的漏洞允许拥有创建会话权限的低权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle数据库-企业版数据重新处理。成功的攻击需要攻击者以外的人的互动。对该漏洞的成功攻击可能会导致对某些Oracle数据库-企业版数据重新处理可访问数据的未经授权的更新、插入或删除访问。CVSS 3.1基础得分3.5（完整性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N）。
CVE-2021-23360|||这影响到1.0.2之前的软件包killport。如果（攻击者控制的）用户输入，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。运行此PoC将导致执行触摸成功的命令，导致创建一个名为成功的文件。
cve-2021-23361|||**拒绝 **不要使用这个候选号码。ConsultIDs: none.原因是。这名候选人被其CNA撤回了。进一步的调查表明，这不是一个安全问题。备注：无。
CVE-2021-23362||3.0.8之前的hosted-git-info软件包存在通过index.js中fromUrl函数中的正则表达式shortcutMatch拒绝服务（ReDoS）的风险。受影响的正则表达式表现出多项式的最坏情况下的时间复杂性。
CVE-2021-23363||这影响到0.0.2之前的kill-by-port软件包。如果（攻击者控制的）用户输入到killByPort函数，攻击者就有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23364||4.0.0及4.16.5之前的browserslist软件包在解析查询时存在正则表达式拒绝服务（ReDoS）的漏洞。
CVE-2021-23365||1.1.1之前的软件包github.com/tyktechnologies/tyk-identity-broker存在通过Go XML解析器导致SAML认证绕过的安全漏洞。这是因为XML解析器不保证XML往返过程中的完整性（编码/解码XML数据）。
CVE-2021-23368||7.0.0及8.2.10之前的软件包postcss在源图解析过程中存在正则表达式拒绝服务（ReDoS）的漏洞。
CVE-2021-23369||4.7.7之前的软件包handlebars在选择某些编译选项来编译来自不受信任来源的模板时，存在远程代码执行（RCE）漏洞。
CVE-2021-2337||Oracle数据库服务器的Oracle XML DB组件中存在漏洞。受影响的支持版本为12.1.0.2、12.2.0.1和19c。容易被利用的漏洞允许拥有创建任何程序、创建公共同义词权限的高权限攻击者通过Oracle Net进行网络访问，从而破坏Oracle XML DB。成功攻击该漏洞可导致对Oracle XML DB的接管。CVSS 3.1基础得分7.2（保密性、完整性和可用性影响）。CVSS向量：（CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H）。
CVE-2021-23370|||这影响到6.5.1之前的软件包swiper。
CVE-2021-23371||这影响到 2.2.4 之前的软件包 chrono-node。它在一个有很多空格的类似日期的字符串上挂起。
CVE-2021-23372||所有版本的软件包mongo-express在将空集合导出为CSV时，由于存在未处理的异常，容易导致拒绝服务（DoS），从而导致崩溃。
CVE-2021-23373||所有版本的软件包set-deep-prop存在通过主要功能进行原型污染的漏洞。
CVE-2021-23374||这影响到软件包ps-visitor的所有版本。如果攻击者控制的用户输入被提供给kill函数，攻击者就有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23375|||这影响到所有版本的软件包psnode。如果攻击者控制的用户输入被提供给kill函数，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23376||这影响到软件包ffmpegdotjs的所有版本。如果攻击者控制的用户输入到trimvideo函数中，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23377||这影响到所有版本的软件包onion-oled-js。如果攻击者控制的用户输入被提供给滚动功能，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23378||这影响到所有版本的picotts包。如果攻击者控制的用户输入被赋予say函数，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23379||这影响到所有版本的软件包portkiller。如果（攻击者控制的）用户输入，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-2338||Oracle Siebel CRM的Siebel Apps - Marketing产品（组件：独立的电子邮件营销）中存在漏洞。受影响的支持版本是21.5和之前的版本。容易被利用的漏洞允许未经认证的攻击者通过HTTP的网络访问来破坏Siebel Apps - Marketing。成功的攻击需要攻击者以外的人的互动，虽然该漏洞是在Siebel Apps - Marketing中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能会导致对Siebel Apps - Marketing的一些可访问数据进行未经授权的更新、插入或删除，以及对Siebel Apps - Marketing的一部分可访问数据进行未经授权的读取。CVSS 3.1基础得分6.1（保密性和完整性影响）。CVSS矢量：（CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N）。
CVE-2021-23380||这影响到所有版本的软件包roar-pidusage。如果在某些操作系统上将攻击者控制的用户输入给该软件包的stat函数，攻击者就有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23381||这影响到所有版本的软件包killing。如果给出攻击者控制的用户输入，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-23382||8.2.13之前的软件包postcss通过lib/previous-map.js中的getAnnotationURL()和loadAnnotation()存在正则表达式拒绝服务（ReDoS）的风险。易受攻击的重词主要由子模式\/\*\s* sourceMappingURL=(.*)引起。
CVE-2021-23383||4.7.7之前的软件包handlebars在选择某些编译选项来编译来自不受信任来源的模板时，容易受到原型污染。
CVE-2021-23384||2.0.2之前的软件包koa-remove-trailing-slashes在访问有漏洞的端点（如https://example.com//attacker.example/）时，通过在URL中使用拖尾的双斜杠，容易导致开放重定向。漏洞代码在index.js::removeTrailingSlashes()中，因为网络服务器使用相对URL而不是绝对URL。
CVE-2021-23885||||这影响到Flask-Security包的所有版本。当使用get_post_logout_redirect和get_post_login_redirect函数时，有可能绕过URL验证，通过提供多个反斜线（如\\evil.com/path）将用户重定向到任意URL。只有在使用Werkzeug以外的其他WSGI服务器，或使用 "autocorrect_location_header=False "修改Werkzeug的默认行为时，才可利用该漏洞。**注意：** Flask-Security已不再维护。
CVE-2021-23386|||这影响到5.2.2之前的软件包dns-packet。它用 allocUnsafe 创建缓冲区，并不总是在形成网络数据包之前填充它们。当查询手工制作的无效域名时，这可能通过未加密的网络暴露内部应用程序内存。
CVE-2021-23387||2.0.1之前的软件包trailing-slash在访问易受攻击的端点（如https://example.com//attacker.example/）时，通过在URL中使用尾部双斜杠，易受开放重定向攻击。漏洞代码在index.js::createTrailing()，因为网络服务器使用相对URL而不是绝对URL。
CVE-2021-23388||1.2.1之前、1.3.0之后和1.3.2之前的软件包表单容易受到通过电子邮件验证的正则表达式拒绝服务（ReDoS）的影响。
CVE-2021-23389||3.4.9之前的软件包total.js存在通过U.set()和U.get()函数进行任意代码执行的漏洞。
CVE-2021-2339||Oracle MySQL的MySQL Server产品中存在漏洞（组件：服务器：DDL）。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。成功攻击该漏洞可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-23390||0.0.43之前的软件包total4存在通过U.set()和U.get()函数进行任意代码执行的漏洞。
CVE-2021-23391||这影响到软件包calipso的所有版本。恶意模块有可能通过模块安装功能覆盖任意文件系统上的文件。
CVE-2021-23392||2.0.15之前的软件包locutus存在通过gopher_parsedir函数实现正则表达式拒绝服务（ReDoS）的漏洞。
CVE-2021-23393||这影响到0.9.0之前的软件包Flask-Unchained。当使用_validate_redirect_url函数时，有可能绕过URL验证，通过提供多个反斜线，如\\evil.com/path，将用户重定向到一个任意URL。这个漏洞只有在使用Werkzeug以外的其他WSGI服务器，或使用'autocorrect_location_header=False'修改Werkzeug的默认行为时才可被利用。
CVE-2021-23394||2.1.58之前的studio-42/elfinder软件包存在通过执行.phar文件中的PHP代码进行远程代码执行（RCE）的漏洞。注意：这仅适用于服务器将.phar文件解析为PHP的情况。
CVE-2021-23395|||这影响到所有版本的软件包nedb。该库可被欺骗使用 __proto__ 或 constructor.prototype 有效载荷添加或修改 Object.prototype 的属性。
CVE-2021-23396||所有版本的软件包lutils都有可能通过main (merge)函数受到Prototype污染。
CVE-2021-23397||所有版本的软件包@ianwalter/merge都容易通过main (merge)函数受到原型污染。维护者建议使用@generates/merger代替。
CVE-2021-23398||所有版本的包 react-bootstrap-table 都存在通过 dataFormat 参数进行跨站脚本攻击（XSS）的风险。该问题在返回无效的React元素时被触发，导致使用危险的SetInnerHTML，该参数没有对输出进行处理。
CVE-2021-23399|||这影响到所有版本的软件包wincred。如果攻击者控制的用户输入被提供给getCredential函数，攻击者有可能执行任意命令。这是由于使用child_process exec函数而没有对输入进行消毒。
CVE-2021-2340||Oracle MySQL的MySQL Server产品（组件：服务器：Memcached）中存在漏洞。受影响的支持版本为8.0.25及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。成功攻击该漏洞可导致未经授权的能力，造成MySQL服务器部分拒绝服务（部分DOS）。CVSS 3.1基础得分2.7（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:L).
CVE-2021-23400||6.6.1之前的软件包nodemailer如果在地址对象中传递可能包含换行和回车的未经消毒的用户输入，则存在HTTP头注入漏洞。
CVE-2021-23401||这影响到软件包Flask-User的所有版本。當使用make_safe_url函數時，有可能繞過URL驗證，透過提供多個反斜線，如/////evil.com/path或\\evil.com/path，將用戶重定向至任意URL。这个漏洞只有在使用Werkzeug以外的其他WSGI服务器，或使用'autocorrect_location_header=False'修改Werkzeug的默认行为时才可被利用。
CVE-2021-23402||所有版本的包record-like-deep-assign容易受到通过主要功能的Prototype污染。
CVE-2021-23403||所有版本的软件包ts-nodash由于缺乏验证输入，容易通过Merge()函数受到原型污染。
CVE-2021-23404||这影响到软件包sqlite-web的所有版本。SQL仪表板区域允许执行敏感操作，而不验证请求是否来自应用程序。这可能使攻击者通过跨站请求伪造（CSRF）攻击，欺骗用户在不知情的情况下执行这些操作。
CVE-2021-23405||这影响到10.0.7之前的软件包pimcore/pimcore。该问题的存在是由于在 ClassificationstoreController 类中的 collectionsActionGet 和 groupsActionGet 方法中没有检查 storeId 参数。
CVE-2021-23406|||这影响到5.0.0之前的软件包pac-resolver。由于不安全的PAC文件处理，在使用不受信任的输入时，可能会出现这种情况。**注意：**对该漏洞的修复已应用于node-degenerator库，该库是由同一维护者编写的依赖关系。
CVE-2021-23407||这影响到0及1.2.4之前的elFinder.Net.Core包。用户控制的文件名在用于创建文件系统路径之前没有被正确处理。
CVE-2021-23408||这影响到3.2之前的软件包com.graphhopper:graphhopper-web-bundle，从4.0-pre1和4.0之前。URL解析器可能被欺骗，使用构造函数或__proto__有效载荷添加或修改Object.prototype的属性。
CVE-2021-23409||0.6.0之前的软件包github.com/pires/go-proxyproto存在漏洞，可通过创建没有代理协议头的连接来拒绝服务（DoS）。
CVE-2021-2341||Oracle Java SE、Oracle GraalVM 企业版产品中的漏洞（组件：网络）。受影响的支持版本有Java SE：7u301，8u291，11.0.11，16.0.1；Oracle GraalVM企业版：20.3.2和21.1.0。难以利用的漏洞允许未认证的攻击者通过多种协议进行网络访问，以损害Java SE、Oracle GraalVM企业版。成功的攻击需要攻击者以外的人的互动。对该漏洞的成功攻击可导致对Java SE、Oracle GraalVM企业版可访问数据子集的未授权读取访问。注意：该漏洞适用于Java部署，通常是在运行沙盒化的Java Web Start应用程序或沙盒化的Java小程序的客户端，加载和运行不受信任的代码（例如，来自互联网的代码），并依靠Java沙盒的安全性。该漏洞不适用于通常在服务器中的Java部署，这些部署只加载和运行受信任的代码（例如，由管理员安装的代码）。CVSS 3.1基础得分3.1（保密性影响）。CVSS矢量: (CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N)。
cve-2021-23410||**拒绝 **不要使用这个候选号码。咨询IDs：无。原因是。这名候选人被其CNA撤回了。进一步的调查显示，这不是一个安全问题。备注：无。
CVE-2021-23411||该软件包的受影响版本通过主要功能存在跨站脚本（XSS）的漏洞。它接受的输入可能导致输出（一个锚点一个标签）包含不良的Javascript代码，在用户互动时可以执行。
CVE-2021-23412||所有版本的软件包gitlogplus都有通过主功能进行命令注入的漏洞，因为选项属性被附加到要执行的命令中而没有经过消毒。
CVE-2021-23413||这影响到3.7.0之前的软件包jszip。在制作一个新的 zip 文件时，将文件名设置为 Object 原型值（例如 __proto__, toString, 等等），导致返回的对象具有修改过的原型实例。
CVE-2021-23414||这影响到7.14.3之前的软件包video.js。track标签的src属性允许绕过HTML escaping并执行任意代码。
CVE-2021-23415|||这影响到1.1.1之前的elFinder.AspNet包。用户控制的文件名在用于创建文件系统路径之前没有被正确处理。
CVE-2021-23416|||这影响到所有版本的包Curly-bracket-parser。当作为模板库使用时，它没有正确处理用户输入。
CVE-2021-23417||所有版本的软件包deepmergefn存在通过deepMerge函数进行原型污染的风险。
CVE-2021-23418||3.2.1之前的软件包glances通过使用Fault解析不受信任的XML数据，容易受到XML外部实体(XXE)注入的影响，已知其容易受到XML攻击。
CVE-2021-23419||这影响到0.2.6之前的软件包open-graph。函数 parse 可以被欺骗，使用 __proto__ 或构造函数的有效载荷添加或修改 Object.prototype 的属性。
CVE-2021-2342||Oracle MySQL的MySQL Server产品（组件：服务器：优化器）中存在漏洞。受影响的支持版本是5.7.34及以前的版本和8.0.25及以前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。对该漏洞的成功攻击可导致未经授权的MySQL服务器挂起或经常重复崩溃（完全DOS）的能力。CVSS 3.1基本得分4.9（可用性影响）。CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H)。
CVE-2021-23420|||这影响到4.0.0及4.1.22之前的codeception/codeception包，3.1.3之前。RunProcess类可被用作小工具，在未经验证就反序列化用户输入的系统上运行任意命令。
CVE-2021-23421||所有版本的软件包merge-change容易受到通过utils.set函数进行的Prototype污染。
CVE-2021-23422||这影响到3.0.0之前的软件包bikeshed。 当处理含有Inline Tag Command元数据的不受信任的源文件时，可能发生这种情况。当一个任意的操作系统命令被执行时，该命令输出会被包含在HTML输出中。
CVE-2021-23423|||这影响到3.0.0之前的软件包bikeshed。 当处理含有include、include-code或include-raw块的不受信任的源文件时，可能发生这种情况。任意文件的内容可能会在HTML输出中披露。
CVE-2021-23424||这影响到所有版本的软件包ansi-html。如果攻击者提供一个恶意字符串，它将在处理输入时卡住很长一段时间。
CVE-2021-23425||所有版本的软件包trim-off-newlines存在通过字符串处理导致的正则表达式拒绝服务（ReDoS）。
CVE-2021-23426||这影响到所有版本的包Proto。通过利用合并功能，可以注入污染使用Proto的应用程序的对象属性。
CVE-2021-23427|||这影响到elFinder.NetCore包的所有版本。由于验证不足，FileSystem中的ExtractAsync函数容易被任意提取。
CVE-2021-23428|||这影响到所有版本的包elFinder.NetCore。Path.Combine(...)方法用于创建一个绝对文件路径。由于缺少对用户输入的处理，以及缺少对生成路径的检查，因此有可能通过路径遍历逃脱Files目录。
CVE-2021-23429||所有版本的软件包transpile都存在拒绝服务（DoS）的漏洞，原因是缺乏输入消毒或白名单，加上.to()函数中不恰当的异常处理。
