CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-198||Pebble Templates 3.1.2允许攻击者绕过保护机制（旨在阻止对java.lang.Class实例的访问），因为getClass可以通过公共静态java.lang.Class.forName(java.lang.Module,java.lang.String)签名访问。
CVE-2019-1990||在ihevcd_fmt_conv_420sp_to_420p的ihevcd_fmt_conv.c中，由于缺少边界检查，有可能出现越界写入。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9Android ID: A-118453553
CVE-2019-19900||在Backdrop CMS 1.13.x before 1.13.5和1.14.x before 1.14.2中发现一个问题。在内容创建界面中显示内容类型名称时，它没有充分过滤输出。攻击者有可能制作一个专门的内容类型名称，然后让编辑器在创建内容时执行脚本，也就是XSS。由于攻击者必须拥有 "管理内容类型 "权限的角色，这一漏洞得到了缓解。
CVE-2019-19901||在Backdrop CMS 1.13.x before 1.13.5和1.14.x before 1.14.2中发现一个问题。在显示由管理员创建的某些区块描述时，它没有充分过滤输出。攻击者有可能制作一个专门的描述，然后让管理员在配置布局时执行脚本，也就是XSS。由于攻击者需要有创建自定义区块的权限，而这通常是一项管理任务，因此这个问题得到了缓解。
CVE-2019-19902||在Backdrop CMS 1.13.x before 1.13.5和1.14.x before 1.14.2发现一个问题。它允许通过用户界面或命令行上传整个网站的配置档案。它没有充分检查上传的档案是否有无效数据，允许非配置脚本有可能被上传到服务器。由于攻击者需要有 "同步、导入和导出配置 "的权限，这个问题得到了缓解，而这个权限只有受信任的管理员才能获得。产品中的其他措施阻止了PHP脚本的执行，因此必须在服务器上访问另一种服务器端脚本语言才能执行代码。
CVE-2019-19903||在Backdrop CMS 1.14.x before 1.14.2中发现一个问题。在显示由管理员创建的文件类型描述时，它没有充分过滤输出。攻击者有可能制作一个专门的描述，然后让管理员在查看文件类型列表时执行脚本，也就是XSS。由于攻击者必须拥有 "管理文件类型 "权限的角色，这一漏洞得到了缓解。
CVE-2019-19905||NetHack 3.6.x before 3.6.4在从配置文件中读取很长的行时容易出现缓冲区溢出漏洞。这影响到安装有NetHack的系统suid/sgid，以及允许用户上传自己的配置文件的共享系统。
CVE-2019-19906||cyrus-sasl（又名Cyrus SASL）2.1.27存在越界写入，导致通过畸形的LDAP数据包在OpenLDAP中实现未经认证的远程拒绝服务。OpenLDAP崩溃最终是由cyrus-sasl中common.c的_sasl_add_string中的逐一错误引起的。
CVE-2019-19907||Kopano Groupware Core 8.7.7之前的libfreebusy/freebusyutil.cpp中的HrAddFBBlock允许越界访问，表现为在解析ICal数据时对数组拷贝处理不当。
CVE-2019-19908||phpMyChat-Plus 1.98存在通过向密码重置URL注入JavaScript而反射XSS的漏洞。在该URL中，pass_reset.php的pmc_username参数存在漏洞。
CVE-2019-19909||在3.1.2-2之前的Public Knowledge Project (PKP) pkp-lib中发现一个问题，在3.1.2-2之前的Open Journal Systems (OJS)中使用。 如果认证的Journal Manager用户访问一个精心制作的URL，则OJS报告生成器中可能发生代码注入，因为使用unserialize。
CVE-2019-1991|||在btif_core.cc的btif_dm_data_copy中，由于缓冲区溢出，可能存在越界写入。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓。版本。Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.安卓ID：A-110166268。
CVE-2019-19910||MediaWiki中2019-11-05至2019-12-13（1.35和/或1.34）的MinervaNeue皮肤错误处理了某些HTML属性，如IMG onmouseover=（影响是XSS）和IMG src=http（影响是泄露客户端的IP地址）。这可能发生在移动（MobileFrontend）环境下查看的谈话页主题标题中。
CVE-2019-19911||Pillow在6.2.2之前存在DoS漏洞，原因是FpxImagePlugin.py在带数较大的情况下对未验证的32位整数调用范围函数。在运行32位Python的Windows上，由于2GB的限制，这将导致OverflowError或MemoryError。然而，在运行64位Python的Linux上，这将导致进程被OOM杀手终止。
CVE-2019-19912||在Intland codeBeamer ALM 9.5及更早版本中，Upload Flash File功能中存在跨站脚本(XSS)漏洞，允许认证的远程攻击者通过嵌入SWF文件的活动脚本注入任意脚本。
CVE-2019-19913||在Intland codeBeamer ALM 9.5及以前版本中，存在通过Trackers Title参数存储的XSS。
CVE-2019-19914||**拒绝 **不要使用此候选编号。ConsultIDs: none.原因是。这个候选者被其CNA撤回了。进一步调查显示，这不是一个安全问题。备注：无。
CVE-2019-19915||WordPress 2.45之前的 "301重定向 - Easy Redirect Manager "插件允许用户（具有订阅者或更高的访问权限）修改、删除或注入重定向规则，并利用XSS，使用/admin-ajax.php?action=eps_redirect_save和/admin-ajax.php?action=eps_redirect_delete动作。这可能导致网站可用性的丧失、恶意重定向和用户感染。这也可以通过CSRF进行利用。
CVE-2019-19916||在Midori Browser 0.5.11（Windows 10上），内容安全策略（CSP）没有正确应用于以multipart/x-mixed-replace MIME类型发送的多部分内容的所有部分。这可能导致脚本在CSP应该阻止的地方运行，当产品将内容渲染为HTML时，允许跨站脚本（XSS）和其他攻击。补救这个问题还需要考虑多角化的情况，例如，一个文件是有效的GIF图像，也是有效的JavaScript。
CVE-2019-19917||Lout 3.40在z39.c的StringQuotedWord()函数中存在缓冲区溢出。
CVE-2019-19918||Lout 3.40在z02.c的srcnext()函数中存在基于堆的缓冲区溢出。
CVE-2019-19919||4.3.0之前的handlebars版本存在原型污染导致远程代码执行的漏洞。模板可能会改变对象的__proto__和__defineGetter__属性，这可能允许攻击者通过制作的有效载荷执行任意代码。
CVE-2019-1992|||在bta_hl_sdp_query_results的bta_hl_main.cc中，由于存在竞赛条件，可能存在使用后自由。这可能导致远程代码执行，不需要额外的执行权限。利用时需要用户互动。产品。安卓。版本。Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.安卓ID：A-116222069。
CVE-2019-19920||sa-exim 4.2.1允许攻击者执行任意代码，如果他们可以编写.cf文件或规则。出现这种情况是因为Greylisting.pm依赖于eval（而不是直接解析和/或使用污点功能）。这个问题与CVE-2018-11805相似。
CVE-2019-19921||runc通过1.0.0-rc9有不正确的访问控制，导致特权升级，与libcontainer/rootfs_linux.go有关。要利用这一漏洞，攻击者必须能够生成两个具有自定义卷积配置的容器，并能够运行自定义图像。(该漏洞不影响Docker，因为一个实施细节恰好可以阻止该攻击)。
CVE-2019-19922||kernel/sched/fair.c在5.3.9之前的Linux内核中，当使用cpu.cfs_quota_us时（例如，与Kubernetes一起），允许攻击者通过生成一个触发不需要的分片到期的工作负载，又称CID-de53fd7aedb1，对非cpu绑定的应用程序造成拒绝服务。(换句话说，虽然这种分片过期通常会出现在良性工作负载中，但攻击者有可能计算出需要多少杂散请求才能迫使整个Kubernetes集群进入由分片过期引起的低性能状态，并确保DDoS攻击发送该数量的杂散请求。攻击不会影响内核的稳定性，它只会导致应用程序执行的错误管理)。
CVE-2019-19923||flattenSubquery在SQLite 3.30.1的select.c中错误地处理了SELECT DISTINCT的某些使用，涉及LEFT JOIN，其中右侧是一个视图。这可能会导致NULL指针解除引用（或不正确的结果）。
CVE-2019-19924||SQLite 3.30.1错误地处理了某些解析器树的重写，与expr.c、vdbeaux.c和window.c有关。这是由不正确的sqlite3WindowRewrite()错误处理造成的。
CVE-2019-19925||SQLite 3.30.1中ext/misc/zipfile.c的zipfileUpdate在更新ZIP归档文件时错误地处理了一个NULL路径名。
CVE-2019-19926||SQLite 3.30.1中select.c中的multiSelect在解析过程中错误处理了某些错误，由sqlite3WindowRewrite()调用的错误证明。注意：这个漏洞的存在是因为CVE-2019-198的修复不完整。
CVE-2019-19927|||在Linux内核5.0.0-rc7（如kernel.ubuntu.com上的ubuntu/linux.git中发布）中，挂载精心制作的f2fs文件系统镜像并执行某些操作会导致drivers/gpu/drm/ttm/ttm_page_alloc.c中ttm_put_pages的板状越界读取访问。这与vmwgfx或tm模块有关。
CVE-2019-19929||Malwarebytes AdwCleaner在8.0.1之前存在一个不可信任的搜索路径漏洞，当产品加载恶意的DLL库时，可能导致以SYSTEM权限执行任意代码。
CVE-2019-1993||在btif_hd.cc的register_app中，由于整数溢出，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。Android-8.0 Android-8.1 Android-9.安卓ID：A-119819889。
CVE-2019-19930|||在libIEC61850 1.4.0中，mms/iso_mms/common/mms_value.c中的MmsValue_newOctetString存在整数签名错误，可导致尝试过度分配内存。
CVE-2019-19931||在libIEC61850 1.4.0中，mms/iso_mms/server/mms_access_result.c中的MmsValue_decodeMmsData有基于堆的缓冲区溢出。
CVE-2019-19935||3.2.3之前的Froala编辑器允许XSS。
CVE-2019-19937||在6.18之前的JFrog Artifactory中，无法限制企业中任何管理用户的系统或资源库导入，这可能导致 "不理想的结果"。
CVE-2019-1994|||在刷新DevelopmentTiles.java时，由于不安全的默认值，有可能使开发设置被访问。这可能导致对开发设置的不必要访问，而不需要额外的执行权限。利用时需要用户互动。产品。安卓。版本。Android-8.0 Android-8.1 Android-9.Android ID: A-117770924.
CVE-2019-19940||6.16.12之前的Swisscom Centro Grande中面向文本的用户界面（telnet、ssh）的输入清理不正确，允许远程认证的用户通过命令注入执行任意命令。
CVE-2019-19941||6.16.12之前的Swisscom Centro Grande中缺少主机名验证，允许远程攻击者通过DHCP请求中的精心制作的主机名将其本地IP地址作为域名条目注入路由器的DNS服务中，导致XSS。
CVE-2019-19942||Swisscom Centro Grande 6.16.12之前的Centro Grande、7.10.18之前的Centro Business 1.0 (ADB)和8.02.04之前的Centro Business 2.0中缺少输出处理，允许远程攻击者通过DHCP请求中精心制作的主机名对Web界面执行DNS欺骗。
CVE-2019-19943||Pablo Quick 'n Easy Web Server 3.3.8中quickweb.exe的HTTP服务允许远程未认证的堆内存破坏，通过大型主机或域参数。由于双倍自由，可能会实现远程代码执行。
CVE-2019-19944||在libIEC61850 1.4.0中，mms/asn1/ber_decode.c中的BerDecoder_decodeUint32有一个越界读取，与intLen和bufPos有关。
CVE-2019-19945||uhttpd in OpenWrt through 18.06.5 and 19.x through 19.07.0-rc2 有一个整数签名错误。这导致了对堆缓冲区的越界访问和随后的崩溃。它可以通过对CGI脚本的HTTP POST请求触发，同时指定 "Transfer-Encoding: chunked "和一个大的负的Content-Length值。
CVE-2019-19946||Dradis Pro 3.4.1中的API允许任何用户提取项目内容，即使该用户不是项目组成员。
CVE-2019-19947||在5.4.6之前的Linux内核中，drivers/net/can/usb/kvaser_usb/kvaser_usb_leaf.c驱动中存在未初始化内存到USB设备的信息泄露，又称CID-da2311a6385c。
CVE-2019-19948||在ImageMagick 7.0.8-43 Q16中，coders/sgi.c的WriteSGIImage函数中存在基于堆的缓冲区溢出现象。
CVE-2019-19949||在ImageMagick 7.0.8-43 Q16中，coders/png.c的WritePNGImage函数中存在基于堆的缓冲区溢出，与Magick_png_write_raw_profile和LocaleNCompare有关。
CVE-2019-1995|||在ComposeActivityEmail.java的ComposeActivityEmail中，由于副手混淆，有可能默默地将文件附加到电子邮件中。这可能导致本地信息泄露，将AOSP邮件可访问的文件发送给远程邮件收件人，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.安卓ID：A-32589229。
CVE-2019-19950||在GraphicsMagick 1.4 snapshot-20190403 Q8中，magick/error.c的ThrowException和ThrowLoggedException中存在使用后自由。
CVE-2019-19951||在GraphicsMagick 1.4 snapshot-20190423 Q8中，coders/miff.c的ImportRLEPixels函数中存在基于堆的缓冲区溢出。
CVE-2019-19952||在ImageMagick 7.0.9-7 Q16中，coders/png.c的函数MngInfoDiscardObject中存在使用后释放，与ReadOneMNGImage有关。
CVE-2019-19953||在GraphicsMagick 1.4 snapshot-20191208 Q8中，coders/pict.c的函数EncodeImage中存在基于堆的缓冲区超读。
CVE-2019-19954||Windows上1.29.1之前的Signal Desktop允许本地用户通过创建木马%SYSTEMDRIVE%\node_modules\.bin\wmic.exe文件获得权限。
CVE-2019-19956||2.9.10之前libxml2中parser.c的xmlParseBalancedChunkMemoryRecover存在与newDoc->oldNs有关的内存泄漏。
CVE-2019-19957||在libIEC61850 1.4.0中，mms/iso_mms/server/mms_access_result.c中的getNumberOfElements存在越界读取漏洞，与bufPos和 elementLength有关。
CVE-2019-19958||在libIEC61850 1.4.0中，common/string_utilities.c中的StringUtils_createStringFromBuffer存在整数签名问题，可能导致尝试过度内存分配和拒绝服务。
CVE-2019-19959||ext/misc/zipfile.c在SQLite 3.30.1中对INSERT INTO的某些使用处理不当，涉及文件名中嵌入的'\0'字符，导致内存管理错误，可以通过（例如）valgrind检测。
CVE-2019-1996||在avrc_pars_ct.cc的avrc_pars_browse_rsp中，由于缺少边界检查，可能存在越界读取。这可能导致通过蓝牙的远程信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。Android-8.0 Android-8.1 Android-9.安卓ID：A-111451066。
CVE-2019-19960||在4.3.0之前的wolfSSL中，wc_ecc_mulmod_ex不能正确抵御侧通道攻击。
CVE-2019-19962||4.3.0之前的wolfSSL错误处理了对wc_SignatureGenerateHash的调用，导致RSA密码学中的故障注入。
CVE-2019-19963||4.3.0之前的wolfSSL在启用DSA的非默认配置中发现一个问题。DSA签名在模块化反转nonce期间使用BEEA算法，导致对nonce的侧信道攻击。
CVE-2019-19964||在NETGEAR GS728TPS设备的5.3.0.35版本中，具有网络连接到网络管理面板的远程攻击者可以访问网络面板的一部分，绕过认证。
CVE-2019-19965||在5.4.6之前的Linux内核中，由于在发现过程中对端口断开的处理不当，在drivers/scsi/libsas/sas_discover.c中存在一个NULL指针脱引，与PHY down竞赛条件有关，又称CID-f70267f379b5。
CVE-2019-19966||在5.1.6之前的Linux内核中，drivers/media/usb/cpia2/cpia2_v4l.c中的cpia2_exit()存在免费使用后的问题，会导致拒绝服务，又称CID-dea37a972655。
CVE-2019-19967||Connect Box EuroDOCSIS 3.0 Voice Gateway CH7465LG-NCIP-6.12.18.25-2p6-NOSH设备的管理页面在80端口的POST请求中接受明文密码，如xml/setter.xml URI的密码字段所显示。
CVE-2019-19968||PandoraFMS 742存在多个XSS漏洞，影响代理管理、报告生成器和图表生成器组件。经过验证的用户可以将危险的内容注入数据存储中，随后被读取并包含在动态内容中。
CVE-2019-1997||在random.c的random_get_bytes中，由于不安全的默认值，可能存在随机性下降的问题。这可能导致通过不安全的无线连接进行本地信息泄露，且不需要额外的执行权限。利用时不需要用户互动。产品。安卓版本。Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.安卓ID：A-117508900。
CVE-2019-19977||libESMTP through 1.0.6误处理域复制到ntlm/ntlmstruct.c中ntlm_build_type_2的固定大小的缓冲区，表现为基于堆栈的缓冲区超读。
CVE-2019-19979||WordPress插件WP Maintenance在5.0.6之前存在缺陷，允许攻击者启用有漏洞网站的维护模式并注入影响网站访问者的恶意代码。存在CSRF，并导致XSS。
CVE-2019-1998||在keymaster_app.c的event_handler中，由于表在重启时丢失，可能存在资源耗尽的情况。这可能会导致本地拒绝服务，而这种拒绝服务无法通过出厂重置来修复，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。安卓-9。安卓ID：A-116055338。
CVE-2019-19980||WordPress插件，Email Subscribers & Newsletters，在4.2.3之前存在权限绕过缺陷，允许认证用户（Subscriber或更高权限）代表管理员从管理仪表板发送测试邮件。出现这种情况是因为该插件注册了一个wp_ajax函数来发送_test_email。
CVE-2019-19981||WordPress插件，Email Subscribers & Newsletters，在4.2.3之前有一个缺陷，允许CSRF在所有插件设置中被利用。
CVE-2019-19982||4.2.3之前的WordPress插件 "电子邮件订阅者和通讯 "存在缺陷，允许未经授权的选项创建。为了利用这一漏洞，攻击者需要发送一个/wp-admin/admin-post.php?es_skip=1&option_name=请求。
CVE-2019-19983||在WordPress插件Fast Velocity Minify 2.7.7之前，运行中的WordPress应用程序的完整网络根路径可以被发现。为了利用这一漏洞，需要启用FVM调试模式，并且admin-ajax请求需要调用fastvelocity_min_files动作。
CVE-2019-19984||4.2.3之前的WordPress插件，Email Subscribers & Newsletters，存在漏洞，允许具有edit_post功能的用户管理插件设置和电子邮件活动。
CVE-2019-19985||4.2.3之前的WordPress插件 "Email Subscribers & Newsletters "存在缺陷，允许未经授权的文件下载并泄露用户信息。
CVE-2019-19986||Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。没有认证的攻击者能够通过向/tools/VamPersonPhoto.php注入HTTP（POST或GET）参数persoid来执行任意SQL SELECT语句。该SQL注入类型是基于错误的（这意味着依靠数据库服务器抛出的错误信息来获得关于数据库结构的信息）。
CVE-2019-19987||在Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。它允许在任何HTML表单上进行跨站请求伪造（CSRF）。攻击者可以利用该漏洞滥用功能，如更改密码、添加用户、添加权限等。
CVE-2019-19988||在Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。拥有有效凭证的用户能够通过Web界面的/common/vam_editXml.php在文件系统上创建和写入XML文件。这个有漏洞的PHP页面没有检查任何一项：确定要创建的文件名的参数，目标路径，或扩展名。因此，攻击者可以操纵文件名，在文件系统中创建任意内容的任何类型的文件。
CVE-2019-19989||Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。一些PHP页面和其他类型的文件可以被任何用户访问，而无需检查用户身份和授权。
CVE-2019-1999||在binder_alloc.c的binder_alloc_free_page中，由于不适当的锁定，可能存在双重自由。这可能导致内核中的本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。安卓内核。安卓ID：A-120025196。
CVE-2019-19990||Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。多个存储的跨站脚本（XSS）漏洞允许远程认证用户通过网页/monitor/s_headmodel.php和/vam/vam_user.php注入任意网页脚本或HTML。
CVE-2019-19991||在Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。多个反射式跨站脚本（XSS）漏洞允许远程认证用户通过网页/vam/vam_anagraphic.php、/vam/vam_vamuser.php、/common/vamp_main.php和/wiz/change_password.php注入任意网页脚本或HTML。
CVE-2019-19992||在Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。拥有有效凭证的用户能够通过Web界面读取文件系统上的XML文件。PHP页面/common/vam_editXml.php没有检查确定要读取的文件名的参数。因此，攻击者可以操纵文件名来访问文件系统中可能的敏感文件。
CVE-2019-19993||Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。发现了几个全路径泄露的漏洞。用户即使没有认证，也可以直接向有漏洞的页面发送任意内容，生成错误信息，暴露一些全路径。
CVE-2019-19994||在Selesta Visual Access Manager（VAM）4.15.0至4.29中发现一个问题。它允许盲目的命令注入。没有认证的攻击者能够通过在PHP网页/common/vam_monitor_sap.php中注入脆弱的参数来执行任意的操作系统命令。
CVE-2019-19995||在Intelbras IWR 3000N 1.8.7设备上发现CSRF问题，导致对路由器的完全控制，由v1/system/user演示。
CVE-2019-19996||在Intelbras IWR 3000N 1.8.7设备上发现了一个问题。畸形的登录请求允许远程攻击者导致拒绝服务（重启），这一点通过对v1/system/login的JSON字符串进行误读而得到证明。
CVE-2019-19998||Xiuno BBS 4.0允许通过plugin/xn_wechat_public/route/token.php进行XXE。
CVE-2019-19999||Halo在1.2.0-beta.1之前允许服务器端模板注入（SSTI），因为在FreeMarker配置中没有使用TemplateClassResolver.SAFER_RESOLVER。
CVE-2019-2000|||在binder.c的几个函数中，由于free之后的使用，可能存在内存损坏。这可能导致本地权限升级，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。安卓内核。安卓ID：A-120025789。
CVE-2019-20000||BullGuard Premium Protection 20.0.371.8中的恶意软件扫描功能存在TOCTOU问题，可实现符号链接攻击，使特权文件被删除。
CVE-2019-20001||在RICOH Streamline NX Client Tool和RICOH Streamline NX PC Client中发现一个问题，允许攻击者提升本地权限。
CVE-2019-20002||SolarWinds WebHelpDesk 12.7.1的导出功能中存在公式注入问题，该问题是通过管理员用户在TicketActions/view?tab=group TSV导出中错误处理的一个值（由低权限用户在帮助请求表的Subject字段中提供）。
CVE-2019-20003||Feldtech easescreen Crystal 9.0 Web-Services 9.0.1.16265允许通过Debug-Log和Display-Log组件存储XSS。当攻击者发送一个精心制作的字符串进行FTP认证时，这可能会被利用。
CVE-2019-20004|||在Intelbras IWR 3000N 1.8.7设备上发现一个问题。当管理员密码从某个客户的IP地址上被更改时，管理授权仍可用于该IP地址的任何客户，从而导致对路由器的完全控制。
CVE-2019-20005|||在ezXML 0.8.3至0.8.6中发现一个问题。函数ezxml_decode在解析一个精心制作的XML文件时，执行了不正确的内存处理，导致在运行strchr()时，从'\0'字符后的指针开始，导致基于堆的缓冲区过度读取（在这里完成了字符串的处理）。
CVE-2019-20006|||在ezXML 0.8.3至0.8.6中发现一个问题。函数ezxml_char_content将一个指向较大块内部地址的指针作为xml->txt。这后来被取消分配（使用free），导致分段故障。
CVE-2019-20007|||在ezXML 0.8.2至0.8.6中发现一个问题。函数ezxml_str2utf8在解析一个精心制作的XML文件时，在ezxml.c中执行零长度的重新分配，导致返回一个NULL指针（在某些编译器中）。此后，函数ezxml_parse_str没有检查ezxml.c中的s变量是否为NULL，导致NULL指针解除引用并崩溃（分段故障）。
CVE-2019-20008||在1.3之前的Archery中，在项目名称中插入XSS有效载荷（通过创建新项目或编辑现有项目）将导致在漏洞扫描调度页面上存储XSS。
CVE-2019-20009||0.93之前的GNU LibreDWG中发现一个问题。在dwg.spec中的dwg_decode_SPLINE_private中，精心设计的输入将导致试图过度分配内存。
CVE-2019-2001||/proc/iomem的权限是世界可读的。这可能导致本地信息泄露，不需要额外的执行权限。利用时不需要用户互动。产品。安卓。版本。安卓内核。安卓ID：A-117422211。
CVE-2019-20010||GNU LibreDWG 0.92中发现一个问题。在decode.c中的resolve_objectref_vector中存在一个使用后自由。
CVE-2019-20011||在 GNU LibreDWG 0.92中发现一个问题。在 decode.c 中的 decode_R13_R2000 中存在一个基于堆的缓冲区超读。
CVE-2019-20012||在 GNU LibreDWG 0.92中发现一个问题。在dwg.spec中的dwg_decode_HATCH_private中，精心设计的输入将导致试图过度分配内存。
CVE-2019-20013||在 GNU LibreDWG 0.93 之前发现一个问题。在dwg.spec中的decode_3dsolid中，精心设计的输入将导致试图过度分配内存。
CVE-2019-20014||在0.93之前的GNU LibreDWG中发现一个问题。在free.c中的dwg_free中存在一个双重自由。
CVE-2019-20015||在 GNU LibreDWG 0.92中发现一个问题。在dwg.spec中的dwg_decode_LWPOLYLINE_private中，精心设计的输入将导致试图过度分配内存。
CVE-2019-20016||2019-11-24之前的libmysofa没有正确限制递归函数调用，如dataobject.c中的readOHDRHeaderMessageDatatype和fractalhead.c中的directblockRead中的堆栈消耗报告所示。 注意：2019-12-06之后下载的v0.9应该完全补救了这个问题。
CVE-2019-20017|||在matio 1.5.17中mat5.c的Mat_VarReadNextInfo5中发现基于堆栈的缓冲区超读。
CVE-2019-20018||在matio 1.5.17中，mat5.c中的ReadNextCell中发现基于堆栈的缓冲区超读。
CVE-2019-20019||在matio 1.5.17中mat5.c的Mat_VarRead5中发现试图过度分配内存。
CVE-2019-20020||在 matio 1.5.17 中 mat5.c 的 ReadNextStructField 中发现基于堆栈的缓冲区超读。
CVE-2019-20021||在UPX 3.95中p_mach.cpp的canUnpack中，通过精心制作的Mach-O文件发现基于堆的缓冲区超读。
CVE-2019-20022||在libsixel 1.8.3之前的frompnm.c中的load_pnm发现无效的内存地址解除引用。
CVE-2019-20023||在libsixel 1.8.4中fromsixel.c的image_buffer_resize中发现内存泄漏。
CVE-2019-20024||在libsixel 1.8.4之前的fromsixel.c中的image_buffer_resize发现基于堆栈的缓冲区溢出。
CVE-2019-20025||NEC SV9100软件的某些版本可能允许未经认证的远程攻击者使用硬编码的用户名和密码登录运行受影响版本的设备，也就是静态凭证漏洞。该漏洞是由于未记录的具有制造商特权级别的用户账户造成的。攻击者可以通过使用该账户远程登录受影响的设备来利用该漏洞。成功利用后，攻击者可以用制造商级别的权限登录设备。此漏洞影响到运行6.0或更高版本软件的SV9100 PBX。该漏洞不影响6.0之前的SV9100软件版本。
CVE-2019-20026||NEC SV9100软件7.0版或更高版本中的WebPro界面允许未经认证的远程攻击者通过精心设计的请求将所有现有的用户名和密码重置为默认值。
CVE-2019-20027||Aspire-derived NEC PBXes，包括SV8100、SV9100、SL1100和SL2100，其软件版本为7.0或更高版本，如果配置不当，可能会允许将空白的用户名和密码组合输入为有效的、成功验证的账户。
CVE-2019-20028||Aspire-derived NEC PBXes operating InMail software, including all versions of SV8100, SV9100, SL1100 and SL2100 devices allow unauthenticated readly access to voicemails, greetings, and voice response system content through a system's WebPro administration interface.
CVE-2019-20029||Aspire-derived NEC PBXes的WebPro功能中存在一个可利用的特权升级漏洞，包括所有版本的SV8100、SV9100、SL1100和SL2100设备。一个特制的HTTP POST可以导致特权升级，导致更高的特权账户，包括未记录的开发人员访问级别。
CVE-2019-2003|||在Linkify.java的addLinks中，由于不寻常的根源，有可能存在网络钓鱼的载体。这可能导致远程代码执行或误导点击，不需要额外的执行权限。利用时需要用户互动。产品。安卓版本。Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9Android ID: A-116321860
CVE-2019-20030|||攻击者如果知道NEC UM8000语音邮件系统上的调制解调器访问号码，可能会使用SSH隧道或标准Linux实用程序来获得对系统LAN端口的访问。所有版本都受到影响。
CVE-2019-20031||NEC UM8000、UM4730和之前的非InMail语音邮件系统的所有已知软件版本可能允许在电话用户界面（TUI）中进行无限次登录尝试，有效允许暴力攻击。
CVE-2019-20032|||攻击者如果能够访问Aspire衍生的NEC PBX上配备find me/follow me功能的InMail语音邮件箱，包括所有版本的SV8100、SV9100、SL1100和SL2100设备，可能会访问系统的管理模块。
CVE-2019-20033|||在Aspire衍生的NEC PBX上，包括所有版本的SV8100设备，一组记录的静态登录凭证可能被用于访问DIM接口。
CVE-2019-2004||在InputTransport.cpp的publishKeyEvent、publishMotionEvent和sendUnchainedFinishedSignal中，存在未初始化的数据，导致本地信息泄露，无需额外执行权限。利用时不需要用户互动。产品。AndroidVersions:Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9Android ID: A-115739809
CVE-2019-20041||WordPress 5.3.1之前的wp-includes/kses.php中的wp_kses_bad_protocol错误处理了HTML5冒号命名实体，允许攻击者绕过输入消毒，如javascript&colon;子串所示。
CVE-2019-20042||在WordPress 3.7至5.3.0的wp-includes/formatting.php中，函数wp_targeted_link_rel()可以以特殊方式使用，导致存储跨站脚本（XSS）漏洞。这已经在WordPress 5.3.1中得到修补，同时通过一个次要版本对之前所有3.7到5.3的WordPress版本进行修补。
CVE-2019-20043||在WordPress 3.7至5.3.0的wp-includes/rest-api/endpoints/class-wp-rest-posts-controller.php中，不具备发布帖子权限的认证用户能够通过REST API将帖子标记为粘性或不粘性。例如，贡献者角色没有这样的权利，但这允许他们绕过这一点。这个问题已经在WordPress 5.3.1中得到了修补，同时也通过一个次要版本对之前所有3.7到5.3的WordPress版本进行了修补。
CVE-2019-20044||在5.8之前的Zsh中，能够执行命令的攻击者可以重新获得由--no-PRIVILEGED选项放弃的权限。Zsh未能覆盖保存的uid，因此可以通过执行MODULE_PATH=/dir/with/module zmodload与调用setuid()的模块来恢复原始权限。
CVE-2019-20045||Synergy Systems & Solutions PLC & RTU系统在HUSKY RTU 6049-E70固件5.0及之前的版本中存在漏洞。特别制作的恶意数据包可能导致活动的真实连接断开或设备重启。这是一个与CVE-2019-16879和CVE-2019-20046不同的问题。
